"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",4885.853,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",103.501,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",4782.352,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",953.253,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",3818.369,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2025",10.73,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",4885.853,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",103.501,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",578.48,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",324.234,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",50.539,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",2116.548,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",1701.821,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2025",10.73,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2025",4885.853,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2025",103.501,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2025",2.4,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2025",578.48,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2025",30.496,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2025",17.643,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2025",324.234,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2025",540.135,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2025",216.69,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2025",197.074,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2025",186.326,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2025",266.107,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2025",64.407,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2025",456.395,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2025",189.415,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2025",256.247,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2025",366.531,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2025",758.413,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_R","2025",90.841,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_S","2025",154.806,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_T","2025",72.592,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_U","2025",2.391,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_X","2025",10.73,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2024",4875.482,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2024",111.713,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2024",4763.77,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2024",966.214,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2024",3789.029,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2024",8.527,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2024",4875.482,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2024",111.713,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2024",586,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2024",325.822,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2024",54.391,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2024",2110.03,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2024",1678.999,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2024",8.527,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2024",4875.482,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2024",111.713,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2024",3.476,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2024",586,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2024",32.862,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2024",18.054,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2024",325.822,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2024",551.001,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2024",210.306,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2024",193.397,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2024",191.324,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2024",261.557,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2024",65.579,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2024",457.007,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2024",179.859,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2024",250.886,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2024",363.205,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2024",739.07,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_R","2024",89.113,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_S","2024",152.733,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_T","2024",79.382,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_U","2024",4.611,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_X","2024",8.527,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2023",4848.18,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2023",108.421,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2023",4739.758,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2023",963.056,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2023",3764.584,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2023",12.119,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2023",4848.18,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2023",108.421,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2023",593.559,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2023",321.803,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2023",47.694,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2023",2108.999,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2023",1655.585,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2023",12.119,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2023",4848.18,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2023",108.421,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2023",2.984,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2023",593.559,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2023",27.745,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2023",16.965,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2023",321.803,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2023",558.277,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2023",218.92,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2023",197.578,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2023",190.576,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2023",262.587,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2023",61.271,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2023",441.607,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2023",178.183,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2023",253.146,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2023",366.02,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2023",726.585,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_R","2023",89.912,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_S","2023",140.361,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_T","2023",75.291,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_U","2023",4.271,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_X","2023",12.119,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2022",4752.211,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2022",105.173,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2022",4647.038,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2022",952.269,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2022",3683.524,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2022",11.245,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2022",4752.211,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2022",105.173,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2022",583.814,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2022",322.786,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2022",45.668,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2022",2050.459,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2022",1633.065,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2022",11.245,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2022",4752.211,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2022",105.173,,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2022",2.887,,,,"R1:3513"
