"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",9414.853,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",568.907,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",8845.946,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",2045.457,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",6770.401,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2025",30.089,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",9414.853,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",568.907,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",899.041,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",720.658,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",425.758,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",3996.924,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",2773.477,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2025",30.089,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2025",9414.853,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2025",568.907,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2025",304.238,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2025",899.041,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2025",49.732,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2025",71.788,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2025",720.658,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2025",1744.757,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2025",591.873,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2025",457.03,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2025",225.605,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2025",205.028,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2025",96.26,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2025",358.958,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2025",317.414,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2025",539.316,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2025",801.913,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2025",723.473,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_R","2025",112.36,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_S","2025",331.347,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_T","2025",261.482,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_U","2025",3.585,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_X","2025",30.089,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2024",9319.067,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2024",578.134,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2024",8740.933,,,,"R1:3513"
"CHL","BA:460","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2024",2012.751,,,,"R1:3513"
