"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"COL","BA:358","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",23827.434,,,,"R1:3513"
"COL","BA:358","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",3386.103,,,,"R1:3513"
"COL","BA:358","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",20441.331,,,,"R1:3513"
"COL","BA:358","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",4830.667,,,,"R1:3513"
"COL","BA:358","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",15609.8,,,,"R1:3513"
"COL","BA:358","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2025",0.864,"U",,,"R1:3513"
"COL","BA:358","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",23827.434,,,,"R1:3513"
"COL","BA:358","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",3386.103,,,,"R1:3513"
"COL","BA:358","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",2609.324,,,,"R1:3513"
"COL","BA:358","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",1604.607,,,,"R1:3513"
"COL","BA:358","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",616.736,,,,"R1:3513"
"COL","BA:358","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",10734.781,,,,"R1:3513"
"COL","BA:358","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",4875.019,,,,"R1:3513"
"COL","BA:358","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2025",0.864,"U",,,"R1:3513"
"COL","BA:358","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2025",23827.434,,,,"R1:3513"
