"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",2230.356,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",240.868,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",1989.489,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",424.148,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",1561.137,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2025",4.205,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",2230.356,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",240.868,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",242.258,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",140.999,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",40.89,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",938.228,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",622.908,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2025",4.205,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2025",2230.356,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2025",240.868,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2025",3.272,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2025",242.258,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2025",28.731,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2025",8.887,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2025",140.999,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2025",359.576,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2025",138.999,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2025",135.044,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2025",51.605,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2025",65.52,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2025",13.72,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2025",84.664,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2025",89.1,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2025",103.423,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2025",146.886,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2025",121.17,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_R","2025",27.041,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_S","2025",105.094,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_T","2025",117.008,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_U","2025",2.286,"U",,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_X","2025",4.205,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2024",2258.25,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2024",264.491,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2024",1993.758,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2024",417.986,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2024",1563.935,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2024",11.837,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2024",2258.25,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2024",264.491,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2024",250.313,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2024",129.092,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2024",38.581,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2024",971.784,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2024",592.151,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2024",11.837,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2024",2258.25,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2024",264.491,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2024",4.559,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2024",250.313,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2024",19.453,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2024",14.569,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2024",129.092,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2024",394.809,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2024",122.582,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2024",144.974,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2024",57.093,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2024",61.494,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2024",22.131,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2024",78.998,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2024",89.702,,,,"R1:3513"
"CRI","BA:12883","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2024",101.99,,,,"R1:3513"
