"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"CZE","BA:149","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",5253.293,,,,"R1:2384"
"CZE","BA:149","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",139.272,,,,"R1:2384"
"CZE","BA:149","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",5114.021,,,,"R1:2384"
"CZE","BA:149","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",1817.908,,,,"R1:2384"
"CZE","BA:149","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",3296.113,,,,"R1:2384"
"CZE","BA:149","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",5253.293,,,,"R1:2384"
"CZE","BA:149","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",139.272,,,,"R1:2384"
"CZE","BA:149","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",1258.811,,,,"R1:2384"
"CZE","BA:149","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",401.707,,,,"R1:2384"
"CZE","BA:149","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",157.39,,,,"R1:2384"
"CZE","BA:149","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",1818.277,,,,"R1:2384"
"CZE","BA:149","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",1477.836,,,,"R1:2384"
"CZE","BA:149","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2025",5253.293,,,,"R1:2384"
"CZE","BA:149","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2025",139.272,,,,"R1:2384"
"CZE","BA:149","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2025",20.798,,,,"R1:2384"
"CZE","BA:149","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2025",1258.811,,,,"R1:2384"
"CZE","BA:149","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2025",65.622,,,,"R1:2384"
"CZE","BA:149","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2025",70.97,,,,"R1:2384"
"CZE","BA:149","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2025",401.707,,,,"R1:2384"
"CZE","BA:149","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2025",572.743,,,,"R1:2384"
"CZE","BA:149","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2025",307.962,,,,"R1:2384"
"CZE","BA:149","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2025",169.476,,,,"R1:2384"
"CZE","BA:149","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2025",211.223,,,,"R1:2384"
