"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",42553.38,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",464.926,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",42088.454,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",11066.192,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",31022.262,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_TOTAL","2025",22514.089,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_AGR","2025",321.883,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_NAG","2025",22192.206,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_IND","2025",8483.906,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_SER","2025",13708.3,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_TOTAL","2025",20039.291,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_AGR","2025",143.043,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_NAG","2025",19896.248,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_IND","2025",2582.286,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_SER","2025",17313.962,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",42553.38,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",464.926,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",7611.652,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",2691.542,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",762.997,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",16662.798,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",14359.464,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_TOTAL","2025",22514.089,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_AGR","2025",321.883,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_MAN","2025",5632.039,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_CON","2025",2274.804,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_MEL","2025",577.063,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_MKT","2025",9143.517,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_PUB","2025",4564.783,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_TOTAL","2025",20039.291,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_AGR","2025",143.043,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_MAN","2025",1979.613,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_CON","2025",416.738,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_MEL","2025",185.935,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_MKT","2025",7519.281,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_PUB","2025",9794.681,,,,"R1:2384"
