"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"DNK","BA:2487","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",3098.384,,,,"R1:2384"
"DNK","BA:2487","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",50.703,,,,"R1:2384"
"DNK","BA:2487","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",3025.131,,,,"R1:2384"
"DNK","BA:2487","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",582.851,,,,"R1:2384"
"DNK","BA:2487","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",2442.28,,,,"R1:2384"
"DNK","BA:2487","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2025",22.549,,,,"R1:2384"
"DNK","BA:2487","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",3098.384,,,,"R1:2384"
"DNK","BA:2487","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",50.703,,,,"R1:2384"
"DNK","BA:2487","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",347.995,,,,"R1:2384"
"DNK","BA:2487","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",188.849,,,,"R1:2384"
"DNK","BA:2487","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",46.007,,,,"R1:2384"
"DNK","BA:2487","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",1266.588,,,,"R1:2384"
"DNK","BA:2487","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",1175.693,,,,"R1:2384"
"DNK","BA:2487","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2025",22.549,,,,"R1:2384"
"DNK","BA:2487","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2025",3098.384,,,,"R1:2384"
"DNK","BA:2487","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2025",50.703,,,,"R1:2384"
"DNK","BA:2487","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2025",4.942,,,,"R1:2384"
"DNK","BA:2487","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2025",347.995,,,,"R1:2384"
"DNK","BA:2487","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2025",21.768,,,,"R1:2384"
