"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",698.768,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",19.658,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",679.11,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",178.76,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",500.35,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",698.768,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",19.658,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",107.627,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",58.057,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",13.076,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",306.899,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",193.451,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2025",698.768,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2025",19.658,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2025",,"U",,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2025",107.627,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2025",7.585,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2025",3.727,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2025",58.057,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2025",94.918,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2025",52.331,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2025",29.225,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2025",40.195,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2025",16.093,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2025",12.857,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2025",35.194,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2025",26.087,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2025",39.064,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2025",66.2,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2025",49.711,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_R","2025",18.392,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_S","2025",19.772,,,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_U","2025",,"U",,,"R1:2384"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2024",703.847,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2024",21.636,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2024",682.212,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2024",186.11,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2024",496.102,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2024",703.847,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2024",21.636,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2024",111.278,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2024",60.378,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2024",14.455,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2024",301.397,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2024",194.705,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2024",703.847,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2024",21.636,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2024",2.469,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2024",111.278,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2024",7.255,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2024",4.73,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2024",60.378,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2024",94.807,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2024",48.586,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2024",27.567,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2024",40.025,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2024",18.225,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2024",12.851,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2024",36.124,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2024",23.212,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2024",39.314,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2024",68.554,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2024",47.554,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_R","2024",20.158,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_S","2024",18.954,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_U","2024",,"U",,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2023",700.001,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2023",18.16,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2023",681.841,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2023",191.606,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2023",490.235,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2023",700.001,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2023",18.16,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2023",120.284,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2023",58.134,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2023",13.187,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2023",290.942,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2023",199.293,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2023",700.001,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2023",18.16,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2023",2.716,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2023",120.284,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2023",6.083,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2023",4.389,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2023",58.134,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2023",91.282,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2023",49.852,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2023",23.095,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2023",36.716,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2023",17.657,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2023",13.563,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2023",35.618,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2023",23.158,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2023",41.489,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2023",66.195,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2023",51.541,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_R","2023",20.24,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_S","2023",19.563,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_T","2023",,"U",,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_U","2023",,"U",,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2022",680.837,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2022",17.727,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2022",663.11,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2022",194.794,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2022",468.316,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2022",680.837,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2022",17.727,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2022",123.553,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2022",58.324,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2022",12.917,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2022",276.765,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2022",191.551,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2022",680.837,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2022",17.727,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2022",3.14,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2022",123.553,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2022",5.588,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2022",4.189,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2022",58.324,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2022",89.971,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2022",50.262,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2022",21.875,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2022",36.703,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2022",16.864,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2022",10.607,,,,"R1:3513"
"EST","BA:42","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2022",29.244,,,,"R1:3513"
