"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",2613.135,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",89.969,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",2507.731,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",553.957,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",1953.774,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2025",15.435,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",2613.135,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",89.969,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",335.814,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",179.143,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",38.999,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",1055.186,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",898.588,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2025",15.435,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2025",2613.135,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2025",89.969,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2025",7.901,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2025",335.814,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2025",13.896,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2025",17.202,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2025",179.143,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2025",268.88,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2025",142.092,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2025",109.316,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2025",134.953,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2025",52.395,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2025",26.811,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2025",178.946,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2025",141.792,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2025",118.234,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2025",190.294,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2025",438.341,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_R","2025",67.095,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_S","2025",75.643,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_T","2025",7.051,,,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_U","2025",,"U",,,"R1:2384"
"FIN","BA:2486","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_X","2025",15.435,,,,"R1:2384"
