"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"FRA","BA:148","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",29382.907,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",684.739,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",28327.707,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",5767.386,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",22560.321,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2025",370.461,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_TOTAL","2025",15040.063,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_AGR","2025",489.76,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_NAG","2025",14360.511,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_IND","2025",4329.011,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_SER","2025",10031.499,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_X","2025",189.792,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_TOTAL","2025",14342.844,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_AGR","2025",194.979,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_NAG","2025",13967.196,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_IND","2025",1438.375,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_SER","2025",12528.821,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_X","2025",180.669,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",29382.907,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",684.739,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",3225.404,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",1956.352,,,,"R1:2384"
