"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"GBR","BA:666","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",34120.427,,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",289.982,,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",33830.445,,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",5327.026,,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",28443.845,,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2025",59.574,,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",34120.427,,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",289.982,,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",2667.359,,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",2083.538,,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",576.129,,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",15032.376,,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",13411.469,,,,"R1:3513"
