"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"HUN","BA:656","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",4686.699,,,,"R1:2384"
"HUN","BA:656","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",206.495,,,,"R1:2384"
"HUN","BA:656","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",4480.204,,,,"R1:2384"
"HUN","BA:656","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",1401.84,,,,"R1:2384"
"HUN","BA:656","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",3078.364,,,,"R1:2384"
"HUN","BA:656","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",4686.699,,,,"R1:2384"
"HUN","BA:656","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",206.495,,,,"R1:2384"
"HUN","BA:656","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",926.317,,,,"R1:2384"
"HUN","BA:656","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",372.549,,,,"R1:2384"
"HUN","BA:656","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",102.975,,,,"R1:2384"
"HUN","BA:656","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",1750.832,,,,"R1:2384"
"HUN","BA:656","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",1327.533,,,,"R1:2384"
"HUN","BA:656","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2025",4686.699,,,,"R1:2384"
"HUN","BA:656","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2025",206.495,,,,"R1:2384"
"HUN","BA:656","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2025",12.038,,,,"R1:2384"
"HUN","BA:656","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2025",926.317,,,,"R1:2384"
