"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",2817.698,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",108.784,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",2700.892,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",531.353,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",2169.539,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2025",8.023,"U",,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",2817.698,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",108.784,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",304.054,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",184.391,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",42.909,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",1267.816,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",901.722,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2025",8.023,"U",,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2025",2817.698,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2025",108.784,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2025",,"U",,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2025",304.054,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2025",23.78,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2025",14.242,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2025",184.391,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2025",323.742,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2025",126.324,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2025",185.418,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2025",179.987,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2025",133.979,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2025",12.797,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2025",199.888,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2025",105.68,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2025",147.465,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2025",247.026,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2025",384.995,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_R","2025",60.571,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_S","2025",56.277,,,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_T","2025",,"U",,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_U","2025",,"U",,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_X","2025",8.023,"U",,,"R1:2384"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2024",2751.253,,,,"R1:3513"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2024",105.65,,,,"R1:3513"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2024",2645.604,,,,"R1:3513"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2024",498.976,,,,"R1:3513"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2024",2138.728,,,,"R1:3513"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2024",7.9,,,,"R1:3513"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2024",2751.253,,,,"R1:3513"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2024",105.65,,,,"R1:3513"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2024",281.948,,,,"R1:3513"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2024",172.11,,,,"R1:3513"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2024",44.917,,,,"R1:3513"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2024",1258.023,,,,"R1:3513"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2024",880.706,,,,"R1:3513"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2024",7.9,,,,"R1:3513"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2024",2751.253,,,,"R1:3513"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2024",105.65,,,,"R1:3513"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2024",5.937,,,,"R1:3513"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2024",281.948,,,,"R1:3513"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2024",23.782,,,,"R1:3513"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2024",15.199,,,,"R1:3513"
"IRL","BA:772","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2024",172.11,,,,"R1:3513"
