"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",227.237,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",9.507,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",217.642,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",42.167,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",175.476,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2025",,"U",,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",227.237,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",9.507,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",20.476,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",18.111,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",3.58,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",92.255,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",83.22,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2025",,"U",,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2025",227.237,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2025",9.507,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2025",,"U",,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2025",20.476,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2025",2.321,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2025",1.155,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2025",18.111,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2025",25.723,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2025",14.352,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2025",13.403,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2025",9.836,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2025",6.833,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2025",1.84,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2025",10.925,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2025",9.343,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2025",12.963,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2025",27.87,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2025",28.768,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_R","2025",8.355,,,,"R1:2384"
"ISL","BA:2255","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_S","2025",5.176,,,,"R1:2384"
