"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",4341.383,,,,"R1:2382"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2024",4362.168,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2024",34.39,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2024",4327.778,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2024",659.256,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2024",3546.274,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2024",122.248,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2024",4362.168,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2024",34.39,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2024",388.26,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2024",233.538,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2024",37.458,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2024",1756.649,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2024",1789.625,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2024",122.248,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2024",4362.168,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2024",34.39,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2024",3.305,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2024",388.26,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2024",17.581,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2024",16.572,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2024",233.538,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2024",441.368,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2024",192.382,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2024",159.049,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2024",283.063,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2024",143.612,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2024",31.894,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2024",342.748,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2024",162.532,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2024",432.661,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2024",566.742,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2024",521.187,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_R","2024",80.415,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_S","2024",124.333,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_T","2024",62.53,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_U","2024",1.757,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_X","2024",122.248,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2023",4309.32,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2023",33.953,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2023",4275.367,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2023",644.61,,,,"R1:3513"
"ISR","BA:706","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2023",3500.781,,,,"R1:3513"
