"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"ITA","BA:2238","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",24117.234,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",834.949,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",23282.285,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",6419.312,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",16862.973,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_TOTAL","2025",13850.627,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_AGR","2025",635.088,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_NAG","2025",13215.539,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_IND","2025",4998.585,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_SER","2025",8216.954,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_TOTAL","2025",10266.607,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_AGR","2025",199.861,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_NAG","2025",10066.746,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_IND","2025",1420.727,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_SER","2025",8646.019,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",24117.234,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",834.949,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",4314.91,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",1682.204,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",422.198,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",10245.591,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",6617.382,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_TOTAL","2025",13850.627,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_AGR","2025",635.088,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_MAN","2025",3112.833,,,,"R1:2384"
