"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"JPN","BA:259","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",68280,,,,
"JPN","BA:259","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",1870,,,,
"JPN","BA:259","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",65260,,,,
"JPN","BA:259","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",15460,,,,
"JPN","BA:259","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",49800,,,,
"JPN","BA:259","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2025",1180,,,,
"JPN","BA:259","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",68280,,,,
"JPN","BA:259","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",1870,,,,
"JPN","BA:259","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",10330,,,,
"JPN","BA:259","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",4780,,,,
"JPN","BA:259","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",350,,,,
"JPN","BA:259","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",26640,,,,
"JPN","BA:259","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",23160,,,,
"JPN","BA:259","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2025",1180,,,,
"JPN","BA:259","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2024",67810,,,,
"JPN","BA:259","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2024",1920,,,,
"JPN","BA:259","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2024",64690,,,,
"JPN","BA:259","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2024",15550,,,,
"JPN","BA:259","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2024",49140,,,,
"JPN","BA:259","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2024",1220,,,,
"JPN","BA:259","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2024",67810,,,,
"JPN","BA:259","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2024",1920,,,,
"JPN","BA:259","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2024",10460,,,,
"JPN","BA:259","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2024",4770,,,,
"JPN","BA:259","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2024",320,,,,
"JPN","BA:259","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2024",26470,,,,
"JPN","BA:259","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2024",22670,,,,
