"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",28880.992,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",1377.969,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",27503.023,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",6575.706,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",20815.223,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2025",112.095,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",28880.992,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",1377.969,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",4382.321,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",1939.841,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",253.544,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",12576.348,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",8238.875,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2025",112.095,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2025",28880.992,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2025",1377.969,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2025",9.033,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2025",4382.321,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2025",96.487,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2025",148.024,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2025",1939.841,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2025",3213.37,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2025",1716.858,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2025",2318.904,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2025",1139.35,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2025",810.891,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2025",527.694,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2025",1475.688,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2025",1373.592,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2025",1328.921,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2025",1943.451,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2025",3177.222,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_R","2025",553.159,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_S","2025",1145.354,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_T","2025",78.101,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_U","2025",12.667,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_X","2025",112.095,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2024",28695.214,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2024",1485.015,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2024",27210.198,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2024",6760.706,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2024",20329.797,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2024",119.695,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2024",28695.214,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2024",1485.015,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2024",4454.975,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2024",2064.768,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2024",240.964,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2024",12434.139,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2024",7895.657,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2024",119.695,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2024",28695.214,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2024",1485.015,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2024",7.525,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2024",4454.975,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2024",91.523,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2024",141.915,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2024",2064.768,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2024",3214.702,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2024",1700.799,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2024",2321.555,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2024",1109.441,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2024",766.898,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2024",519.46,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2024",1422.189,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2024",1379.096,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2024",1307.64,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2024",1900.306,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2024",2940.475,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_R","2024",522.22,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_S","2024",1130.512,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_T","2024",79.36,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_U","2024",15.145,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_X","2024",119.695,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2023",28548.989,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2023",1512.977,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2023",27036.013,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2023",6817.473,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2023",20085.846,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2023",132.693,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2023",28548.989,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2023",1512.977,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2023",4460.566,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2023",2113.726,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2023",243.181,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2023",12326.694,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2023",7759.152,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2023",132.693,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2023",28548.989,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2023",1512.977,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2023",7.655,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2023",4460.566,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2023",88.806,,,,"R1:3513"
"KOR","BA:222","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2023",146.72,,,,"R1:3513"
