"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",1462.795,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",69.822,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",1392.972,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",363.696,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",1029.277,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",1462.795,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",69.822,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",226.576,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",109.028,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",28.092,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",609.694,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",419.583,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2025",1462.795,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2025",69.822,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2025",1.275,"U",,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2025",226.576,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2025",13.361,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2025",13.456,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2025",109.028,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2025",204.426,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2025",94.307,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2025",41.845,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2025",72.624,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2025",24.526,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2025",11.399,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2025",89.63,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2025",70.936,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2025",98.717,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2025",136.966,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2025",114.683,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_R","2025",33.827,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_S","2025",33.964,,,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_T","2025",1.39,"U",,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_U","2025",,"U",,,"R1:2384"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2024",1463.725,,,,"R1:3513"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2024",70.899,,,,"R1:3513"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2024",1392.827,,,,"R1:3513"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2024",380.318,,,,"R1:3513"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2024",1012.509,,,,"R1:3513"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2024",1463.725,,,,"R1:3513"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2024",70.899,,,,"R1:3513"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2024",234.328,,,,"R1:3513"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2024",114.457,,,,"R1:3513"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2024",31.533,,,,"R1:3513"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2024",600.685,,,,"R1:3513"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2024",411.823,,,,"R1:3513"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2024",1463.725,,,,"R1:3513"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2024",70.899,,,,"R1:3513"
"LTU","BA:2245","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2024",1.819,,,,"R1:3513"
