"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"MEX","BA:463","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",60478.041,,,,"R1:3513"
"MEX","BA:463","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",6640.148,,,,"R1:3513"
"MEX","BA:463","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",53837.893,,,,"R1:3513"
"MEX","BA:463","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",14306.992,,,,"R1:3513"
"MEX","BA:463","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",37455.697,,,,"R1:3513"
"MEX","BA:463","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2025",2075.204,,,,"R1:3513"
"MEX","BA:463","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",60478.041,,,,"R1:3513"
"MEX","BA:463","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",6640.148,,,,"R1:3513"
"MEX","BA:463","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",9666.649,,,,"R1:3513"
"MEX","BA:463","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",3761.48,,,,"R1:3513"
"MEX","BA:463","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",878.863,,,,"R1:3513"
"MEX","BA:463","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",25950.419,,,,"R1:3513"
"MEX","BA:463","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",11505.278,,,,"R1:3513"
"MEX","BA:463","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2025",2075.204,,,,"R1:3513"
"MEX","BA:463","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2025",60478.041,,,,"R1:3513"
"MEX","BA:463","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2025",6640.148,,,,"R1:3513"
"MEX","BA:463","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2025",387.946,,,,"R1:3513"
"MEX","BA:463","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2025",9666.649,,,,"R1:3513"
"MEX","BA:463","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2025",175.967,,,,"R1:3513"
"MEX","BA:463","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2025",314.95,,,,"R1:3513"
"MEX","BA:463","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2025",3761.48,,,,"R1:3513"
