"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"NLD","BA:2236","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",9898.995,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",161.615,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",9531.165,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",1358.124,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",8173.041,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2025",206.215,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_TOTAL","2025",5227.723,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_AGR","2025",113.655,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_NAG","2025",4997.454,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_IND","2025",1086.37,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_SER","2025",3911.085,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_X","2025",116.613,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_TOTAL","2025",4671.272,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_AGR","2025",47.96,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_NAG","2025",4533.71,,,,"R1:2384"
