"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",2922.938,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",75.823,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",2818.481,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",519.359,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",2299.122,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2025",28.634,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",2922.938,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",75.823,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",192.52,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",227.626,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",99.213,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",1145.185,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",1153.938,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2025",28.634,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2025",2922.938,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2025",75.823,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2025",60.987,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2025",192.52,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2025",18.947,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2025",19.279,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2025",227.626,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2025",346.516,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2025",156.358,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2025",109.681,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2025",135.104,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2025",53.222,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2025",32.584,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2025",183.011,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2025",128.708,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2025",189.142,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2025",230.147,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2025",588.663,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_R","2025",74.75,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_S","2025",69.897,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_T","2025",,"U",,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_U","2025",,"U",,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_X","2025",28.634,,,,"R1:2384"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2024",2907.835,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2024",70.64,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2024",2837.195,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2024",521.482,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2024",2289.258,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2024",26.454,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2024",2907.835,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2024",70.64,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2024",193.848,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2024",231.144,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2024",96.49,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2024",1135.09,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2024",1154.168,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2024",26.454,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2024",2907.835,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2024",70.64,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2024",59.258,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2024",193.848,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2024",17.224,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2024",20.007,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2024",231.144,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2024",354.965,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2024",145.104,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2024",103.238,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2024",129.781,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2024",48.004,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2024",37.063,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2024",186.796,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2024",130.14,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2024",178.941,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2024",244.071,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2024",590.913,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_R","2024",71.153,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_S","2024",66.858,,,,"R1:3513"
"NOR","BA:2250","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_T","2024",,"U",,,"R1:3513"
