"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"NZL","BA:117","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",2876.6,,,,"R1:2382"
"NZL","BA:117","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",157.875,,,,"R1:2382"
"NZL","BA:117","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",2718.25,,,,"R1:2382"
"NZL","BA:117","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",580.225,,,,"R1:2382"
"NZL","BA:117","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",2111.725,,,,"R1:2382"
"NZL","BA:117","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2025",26.375,,,,"R1:2382"
"NZL","BA:117","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",2876.125,,,,
"NZL","BA:117","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",157.875,,,,
"NZL","BA:117","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",247.05,,,,
"NZL","BA:117","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",291.55,,,,
"NZL","BA:117","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",41.625,,,,
"NZL","BA:117","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",1198.675,,,,
"NZL","BA:117","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",913.05,,,,
"NZL","BA:117","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2025",26.375,,,,
"NZL","BA:117","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2024",2896.225,,,,"R1:2382"
"NZL","BA:117","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2024",159.4,,,,"R1:2382"
"NZL","BA:117","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2024",2736.85,,,,"R1:2382"
"NZL","BA:117","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2024",580.825,,,,"R1:2382"
"NZL","BA:117","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2024",2130.5,,,,"R1:2382"
"NZL","BA:117","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2024",25.575,,,,"R1:2382"
"NZL","BA:117","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2024",2896.25,,,,
"NZL","BA:117","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2024",159.4,,,,
"NZL","BA:117","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2024",245.175,,,,
"NZL","BA:117","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2024",296.7,,,,
"NZL","BA:117","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2024",38.95,,,,
"NZL","BA:117","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2024",1203.35,,,,
