"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"POL","BA:432","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",17291.416,,,,"R1:3513"
"POL","BA:432","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",1051.527,,,,"R1:3513"
"POL","BA:432","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",16239.89,,,,"R1:3513"
"POL","BA:432","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",5177.848,,,,"R1:3513"
"POL","BA:432","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",10851.204,,,,"R1:3513"
"POL","BA:432","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2025",210.838,,,,"R1:3513"
"POL","BA:432","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",17291.416,,,,"R1:3513"
"POL","BA:432","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",1051.527,,,,"R1:3513"
"POL","BA:432","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",3308.155,,,,"R1:3513"
"POL","BA:432","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",1307.05,,,,"R1:3513"
"POL","BA:432","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",562.643,,,,"R1:3513"
"POL","BA:432","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",6411.397,,,,"R1:3513"
"POL","BA:432","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",4439.806,,,,"R1:3513"
"POL","BA:432","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2025",210.838,,,,"R1:3513"
"POL","BA:432","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2025",17291.416,,,,"R1:3513"
"POL","BA:432","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2025",1051.527,,,,"R1:3513"
"POL","BA:432","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2025",198.616,,,,"R1:3513"
"POL","BA:432","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2025",3308.155,,,,"R1:3513"
"POL","BA:432","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2025",180.53,,,,"R1:3513"
"POL","BA:432","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2025",183.497,,,,"R1:3513"
"POL","BA:432","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2025",1307.05,,,,"R1:3513"
"POL","BA:432","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2025",2193.514,,,,"R1:3513"
"POL","BA:432","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2025",1165.898,,,,"R1:3513"
"POL","BA:432","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2025",410.292,,,,"R1:3513"
"POL","BA:432","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2025",687.155,,,,"R1:3513"
