"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",5275.331,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",129.046,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",5146.286,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",1286.438,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",3859.847,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",5275.331,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",129.046,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",837.977,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",372.611,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",75.851,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",2225.408,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",1634.439,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2025",5275.331,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2025",129.046,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2025",15.464,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2025",837.977,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2025",22.133,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2025",38.255,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2025",372.611,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2025",769.358,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2025",247.73,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2025",340.808,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2025",222.317,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2025",110.413,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2025",56.8,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2025",284.026,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2025",193.955,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2025",358.825,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2025",422.006,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2025",534.26,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_R","2025",85.512,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_S","2025",134.993,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_T","2025",96.159,,,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_U","2025",,"U",,,"R1:2384"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2024",5112.256,,,,"R1:3513"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2024",145.926,,,,"R1:3513"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2024",4966.33,,,,"R1:3513"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2024",1265.203,,,,"R1:3513"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2024",3701.127,,,,"R1:3513"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2024",5112.256,,,,"R1:3513"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2024",145.926,,,,"R1:3513"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2024",826.931,,,,"R1:3513"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2024",359.508,,,,"R1:3513"
"PRT","BA:2252","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2024",78.765,,,,"R1:3513"
