"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",2610.652,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",63.745,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",2545.551,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",897.305,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",1648.246,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2025",,"U",,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",2610.652,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",63.745,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",576.819,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",254.743,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",65.743,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",944.925,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",703.321,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2025",,"U",,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2025",2610.652,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2025",63.745,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2025",,"U",,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2025",576.819,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2025",35.208,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2025",26.248,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2025",254.743,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2025",330.515,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2025",174.331,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2025",100.43,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2025",107.077,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2025",64.325,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2025",18.18,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2025",98.654,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2025",51.414,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2025",215.031,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2025",206.484,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2025",195.481,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_R","2025",40.514,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_S","2025",39.9,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_T","2025",5.788,"U",,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_U","2025",,"U",,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_X","2025",,"U",,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2024",2620.769,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2024",58.629,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2024",2560.98,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2024",913.802,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2024",1647.179,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2024",,"U",,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2024",2620.769,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2024",58.629,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2024",574.706,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2024",265.744,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2024",73.352,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2024",941.434,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2024",705.744,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2024",,"U",,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2024",2620.769,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2024",58.629,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2024",6.936,"U",,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2024",574.706,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2024",35.046,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2024",31.37,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2024",265.744,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2024",328.878,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2024",169.293,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2024",105.046,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2024",112.229,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2024",64.892,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2024",19.545,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2024",96.261,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2024",45.289,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2024",214.147,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2024",212.683,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2024",199.322,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_R","2024",37.944,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_S","2024",36.586,,,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_T","2024",,"U",,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_U","2024",,"U",,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_X","2024",,"U",,,"R1:2384"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2023",2609.154,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2023",61.86,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2023",2547.294,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2023",686.884,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2023",1231.697,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2023",628.712,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2023",2609.154,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2023",61.86,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2023",435.098,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2023",199.092,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2023",52.695,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2023",707.223,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2023",524.474,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2023",628.712,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2023",2609.154,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2023",61.86,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2023",6.574,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2023",435.098,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2023",21.762,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2023",24.358,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2023",199.092,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2023",249.202,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2023",124.174,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2023",78.856,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2023",73.093,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2023",55.614,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2023",15.863,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2023",71.58,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2023",38.84,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2023",159.298,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2023",157.9,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2023",151.232,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_R","2023",24.881,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_S","2023",28.669,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_T","2023",1.454,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_U","2023",1.04,"U",,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_X","2023",628.712,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2022",2603.57,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2022",66.124,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2022",2537.446,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2022",932.917,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2022",1603.846,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2022",0.684,"U",,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2022",2603.57,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2022",66.124,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2022",621.751,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2022",254.881,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2022",56.285,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2022",902.771,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2022",701.075,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2022",0.684,"U",,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2022",2603.57,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2022",66.124,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2022",7.233,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2022",621.751,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2022",26.823,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2022",22.229,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2022",254.881,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2022",315.198,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2022",159.639,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2022",90.325,,,,"R1:3513"
"SVK","BA:398","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2022",107.868,,,,"R1:3513"
