"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",996.603,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",34.131,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",958.545,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",318.106,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",640.439,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2025",3.927,"U",,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",996.603,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",34.131,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",221.362,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",72.759,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",23.984,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",375.897,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",264.542,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2025",3.927,"U",,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2025",996.603,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2025",34.131,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2025",2.947,"U",,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2025",221.362,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2025",9.04,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2025",11.996,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2025",72.759,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2025",128.314,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2025",51.042,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2025",37.178,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2025",36.34,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2025",18.374,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2025",4.338,"U",,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2025",65.32,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2025",34.993,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2025",51.912,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2025",87.542,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2025",83.257,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_R","2025",21.526,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_S","2025",19.323,,,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_T","2025",,"U",,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_U","2025",,"U",,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_X","2025",3.927,"U",,,"R1:2384"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2024",998.433,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2024",37.503,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2024",960.93,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2024",318.611,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2024",639.244,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2024",3.075,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2024",998.433,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2024",37.503,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2024",228.858,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2024",63.918,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2024",25.835,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2024",374.843,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2024",264.401,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2024",3.075,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2024",998.433,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2024",37.503,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2024",2.337,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2024",228.858,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2024",9.123,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2024",14.375,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2024",63.918,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2024",123.494,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_H","2024",49.987,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_I","2024",42.529,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_J","2024",35.039,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_K","2024",19.294,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_L","2024",4.998,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_M","2024",63.486,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_N","2024",36.016,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_O","2024",54.864,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_P","2024",86.598,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_Q","2024",81.823,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_R","2024",18.526,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_S","2024",21.222,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_T","2024",0.911,,,,"R1:3513"
"SVN","BA:446","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_U","2024",0.456,"U",,,"R1:3513"
