"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",5328.944,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",88.637,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",5222.304,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",912.503,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",4309.718,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_X","2025",18.003,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_TOTAL","2025",2793.211,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_AGR","2025",68.025,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_NAG","2025",2715.472,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_IND","2025",721.624,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_SER","2025",1993.936,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_X","2025",9.694,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_TOTAL","2025",2535.817,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_AGR","2025",20.695,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_NAG","2025",2506.831,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_IND","2025",190.963,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_SER","2025",2315.869,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_X","2025",8.206,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",5328.944,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",88.637,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",499.791,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",339.681,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",73.022,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",2255.403,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",2054.226,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_X","2025",18.003,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_TOTAL","2025",2793.211,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_AGR","2025",68.025,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_MAN","2025",371.902,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_CON","2025",296.393,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_MEL","2025",53.246,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_MKT","2025",1355.405,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_PUB","2025",638.44,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_AGGREGATE_X","2025",9.694,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_TOTAL","2025",2535.817,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_AGR","2025",20.695,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_MAN","2025",127.974,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_CON","2025",43.373,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_MEL","2025",19.623,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_MKT","2025",899.909,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_PUB","2025",1415.871,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_AGGREGATE_X","2025",8.206,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2025",5328.944,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2025",88.637,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2025",9.609,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2025",499.791,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2025",30.935,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2025",32.26,,,,"R1:2384"
