"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"TUR","BA:622","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",32566.338,,,,"R1:3513"
"TUR","BA:622","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",4560.349,,,,"R1:3513"
"TUR","BA:622","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",28005.989,,,,"R1:3513"
"TUR","BA:622","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",8801.79,,,,"R1:3513"
"TUR","BA:622","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",19204.2,,,,"R1:3513"
"TUR","BA:622","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",32566.338,,,,"R1:3513"
"TUR","BA:622","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",4560.349,,,,"R1:3513"
"TUR","BA:622","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MAN","2025",6067.55,,,,"R1:3513"
"TUR","BA:622","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_CON","2025",2224.126,,,,"R1:3513"
"TUR","BA:622","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MEL","2025",510.114,,,,"R1:3513"
"TUR","BA:622","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_MKT","2025",11706.208,,,,"R1:3513"
"TUR","BA:622","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_PUB","2025",7497.992,,,,"R1:3513"
"TUR","BA:622","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_TOTAL","2025",32566.338,,,,"R1:3513"
"TUR","BA:622","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_A","2025",4560.349,,,,"R1:3513"
"TUR","BA:622","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_B","2025",172.645,,,,"R1:3513"
"TUR","BA:622","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_C","2025",6067.55,,,,"R1:3513"
"TUR","BA:622","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_D","2025",146.979,,,,"R1:3513"
"TUR","BA:622","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_E","2025",190.49,,,,"R1:3513"
"TUR","BA:622","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_F","2025",2224.126,,,,"R1:3513"
"TUR","BA:622","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_ISIC4_G","2025",4702.086,,,,"R1:3513"
