"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"USA","BA:453","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_TOTAL","2025",163492.861,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_AGR","2025",2488.606,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_NAG","2025",161004.255,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_IND","2025",31058.054,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_SECTOR_SER","2025",129946.201,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_TOTAL","2025",86562.25,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_AGR","2025",1757.106,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_NAG","2025",84805.143,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_IND","2025",24503.621,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_NB","SEX_M","ECO_SECTOR_SER","2025",60301.522,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_TOTAL","2025",76930.611,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_AGR","2025",731.499,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_NAG","2025",76199.112,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_IND","2025",6554.433,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_NB","SEX_F","ECO_SECTOR_SER","2025",69644.679,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_TOTAL","2025",163492.861,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_NB","SEX_T","ECO_AGGREGATE_AGR","2025",2488.606,"B",,"I11:264","R1:3513_R1:2803_T2:85"
