"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"AUS","BB:15747","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2021",12715.243,,,"R1:3513"
"AUS","BB:15747","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2021",3677.57,,,"R1:3513"
"AUS","BB:15747","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2021",9037.673,,,"R1:3513"
"AUS","BB:15747","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2020",12389.404,,,"R1:3513"
"AUS","BB:15747","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2020",3580.748,,,"R1:3513"
"AUS","BB:15747","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2020",8808.656,,,"R1:3513"
"AUS","BB:15747","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2019",12788.403,,,"R1:3513"
"AUS","BB:15747","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2019",3672.132,,,"R1:3513"
"AUS","BB:15747","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2019",9116.271,,,"R1:3513"
"AUS","BB:15747","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2018",12574.635,,,"R1:3513"
"AUS","BB:15747","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2018",3468.726,,,"R1:3513"
"AUS","BB:15747","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2018",9105.908,,,"R1:3513"
"AUS","BA:518","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2017",12276.311,,"I20:4147_T12:145","S4:30_S5:38"
"AUS","BA:518","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2017",1687.754,,"I20:4147_T12:145","S4:30_S5:38"
"AUS","BA:518","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2017",10588.557,,"I20:4147_T12:145","S4:30_S5:38"
"AUS","BA:518","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2016",11999.125,,"I20:4147_T12:145","S4:30_S5:38"
"AUS","BA:518","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2016",1532.197,,"I20:4147_T12:145","S4:30_S5:38"
"AUS","BA:518","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2016",10466.928,,"I20:4147_T12:145","S4:30_S5:38"
"AUS","BA:518","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2015",11807.645,,"I20:4147_T12:145","S4:30_S5:38"
"AUS","BA:518","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2015",1484.626,,"I20:4147_T12:145","S4:30_S5:38"
"AUS","BA:518","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2015",10323.019,,"I20:4147_T12:145","S4:30_S5:38"
