"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2025",4500.156,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2025",377.791,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2025",4122.365,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2024",4488.847,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2024",356.992,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2024",4131.855,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2023",4483.009,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2023",359.058,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2023",4123.951,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2022",4442.587,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2022",354.848,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2022",4087.739,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2021",4306.029,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2021",369.625,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2021",3936.404,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2020",4318.37,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2020",315.417,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2020",4002.953,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2019",4358.896,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2019",367.108,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2019",3991.788,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2018",4322.661,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2018",368.572,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2018",3954.089,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2017",4262.707,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2017",380.384,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2017",3882.324,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2016",4222.768,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2016",378.381,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2016",3844.386,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2015",4150.503,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2015",388.709,,,"R1:3513"
"AUT","BA:103","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2015",3761.794,,,"R1:3513"
