"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"BEL","BA:2257","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2019",4795.08,,"I23:3547",
"BEL","BA:2257","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2019",1013.484,,"I23:3547",
"BEL","BA:2257","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2019",3781.596,,"I23:3547",
"BEL","BA:2257","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2018",4755.179,,"I23:3547",
"BEL","BA:2257","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2018",1008.285,,"I23:3547",
"BEL","BA:2257","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2018",3746.894,,"I23:3547",
"BEL","BA:2257","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2017",4637.786,,"I23:3547",
"BEL","BA:2257","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2017",1014.098,,"I23:3547",
"BEL","BA:2257","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2017",3623.688,,"I23:3547",
"BEL","BA:2257","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2016",4586.689,,"I23:3547",
"BEL","BA:2257","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2016",968.727,,"I23:3547",
"BEL","BA:2257","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2016",3617.962,,"I23:3547",
"BEL","BA:2257","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2015",4551.619,,,
"BEL","BA:2257","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2015",962.141,,,
"BEL","BA:2257","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2015",3589.477,,,
