"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2025",4885.853,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2025",803.007,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2025",4082.846,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2024",4875.482,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2024",779.752,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2024",4095.73,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2023",4848.18,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2023",764.728,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2023",4083.452,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2022",4752.211,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2022",725.893,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2022",4026.318,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2021",4707.008,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2021",750.786,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2021",3956.222,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2020",4696.134,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2020",792.095,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2020",3904.038,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2019",4705.783,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2019",785.268,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2019",3920.516,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2018",4675.326,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2018",769.563,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2018",3905.763,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2017",4636.74,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2017",761.734,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2017",3875.006,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2016",4604.41,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2016",747.582,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2016",3856.828,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2015",4538.398,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2015",705.354,,,"R1:3513"
"CHE","BA:253","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2015",3833.044,,,"R1:3513"
