"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"DNK","BA:2487","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2020",2852,,"I20:4077_I23:3547","T3:104"
"DNK","BA:2487","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2020",862,,"I20:4077_I23:3547","T3:104"
"DNK","BA:2487","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2020",1981,,"I20:4077_I23:3547","T3:104"
"DNK","BA:2487","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2019",2878,,"I20:4077_I23:3547","T3:104"
"DNK","BA:2487","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2019",852,,"I20:4077_I23:3547","T3:104"
"DNK","BA:2487","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2019",2014,,"I20:4077_I23:3547","T3:104"
"DNK","BA:2487","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2018",2832,,"I20:4077_I23:3547","T3:104"
"DNK","BA:2487","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2018",837,,"I20:4077_I23:3547","T3:104"
"DNK","BA:2487","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2018",1995,,"I20:4077_I23:3547","T3:104"
"DNK","BA:2487","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2017",2767,,"I20:4077_I23:3547","T3:104"
"DNK","BA:2487","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2017",829,,"I20:4077_I23:3547","T3:104"
"DNK","BA:2487","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2017",1928,,"I20:4077_I23:3547","T3:104"
"DNK","BA:2487","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2016",2613,,"I20:4077_I23:3547","T3:104"
"DNK","BA:2487","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2016",795,,"I20:4077_I23:3547","T3:104"
"DNK","BA:2487","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2016",1807,,"I20:4077_I23:3547","T3:104"
"DNK","BA:2487","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2015",2709,,"I20:4077_I23:3547","T3:104"
"DNK","BA:2487","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2015",816,,"I20:4077_I23:3547","T3:104"
"DNK","BA:2487","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2015",1882,,"I20:4077_I23:3547","T3:104"
