"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2025",22221.112,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2025",3548.77,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2025",18672.342,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2024",21653.892,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2024",3560.244,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2024",18093.648,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2023",21182.204,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2023",3522.928,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2023",17659.277,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2022",20547.486,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2022",3466.786,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2022",17080.7,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2021",19833.476,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2021",3423.772,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2021",16409.704,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2020",19202.41,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2020",3297.535,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2020",15904.875,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2019",19779.312,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2019",3222.523,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2019",16556.789,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2018",19327.701,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2018",3150.529,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2018",16177.173,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2017",18824.786,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2017",3028.599,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2017",15796.186,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2016",18341.55,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2016",3000.825,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2016",15340.724,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2015",17866.048,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2015",2975.034,,,"R1:3513"
"ESP","BA:246","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2015",14891.013,,,"R1:3513"
