"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"FIN","BA:2486","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2020",2495,,"I20:4077_I23:3547","T3:104"
"FIN","BA:2486","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2020",622,,"I20:4077_I23:3547","T3:104"
"FIN","BA:2486","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2020",1866,,"I20:4077_I23:3547","T3:104"
"FIN","BA:2486","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2019",2533,,"I20:4077_I23:3549","T3:104"
"FIN","BA:2486","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2019",644,,"I20:4077_I23:3549","T3:104"
"FIN","BA:2486","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2019",1885,,"I20:4077_I23:3549","T3:104"
"FIN","BA:2486","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2018",2507,,"I20:4077_I23:3549","T3:104"
"FIN","BA:2486","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2018",649,,"I20:4077_I23:3549","T3:104"
"FIN","BA:2486","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2018",1852,,"I20:4077_I23:3549","T3:104"
"FIN","BA:2486","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2017",2473,,"I23:3549","T3:104"
"FIN","BA:2486","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2017",674,,"I23:3549","T3:104"
"FIN","BA:2486","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2017",1794,,"I23:3549","T3:104"
"FIN","BA:2486","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2016",2448,,"I23:3549","T3:104"
"FIN","BA:2486","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2016",657,,"I23:3549","T3:104"
"FIN","BA:2486","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2016",1783,,"I23:3549","T3:104"
"FIN","BA:2486","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2015",2437,,"I23:3547","T3:104"
"FIN","BA:2486","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2015",668,,"I23:3547","T3:104"
"FIN","BA:2486","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2015",1759,,"I23:3547","T3:104"
