"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2024",29021.954,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2024",5852.336,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2024",23169.618,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2023",28588.583,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2023",5751.884,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2023",22836.699,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2022",28395.467,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2022",5675.75,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2022",22719.717,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2021",27929.633,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2021",5658.166,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2021",22271.467,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2020",26995.321,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2020",5616.867,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2020",21378.454,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2019",27132.732,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2019",5556.624,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2019",21576.108,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2018",27022.074,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2018",5416.18,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2018",21605.893,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2017",26803.113,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2017",5380.022,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2017",21423.091,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2016",26583.839,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2016",5412.953,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2016",21170.886,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2015",26423.739,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2015",5452.85,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2015",20970.888,,,"R1:3513"
