"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2025",34120.427,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2025",8167.897,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2025",25952.531,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2024",33388.077,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2024",7835.028,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2024",25553.05,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2023",33013.939,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2023",7777.868,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2023",25236.071,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2022",32708.821,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2022",7706.076,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2022",25002.745,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2021",32164.538,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2021",7646.883,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2021",24517.655,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2020",32614.856,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2020",7433.095,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2020",25181.761,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2019",32773.456,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2019",6830.452,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2019",25943.004,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2018",32407.991,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2018",6977.644,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2018",25430.347,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2017",32007.554,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2017",6839.814,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2017",25167.74,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2016",31696.125,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2016",6825.956,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2016",24870.168,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2015",31169.751,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2015",6907.455,,,"R1:3513"
"GBR","BA:666","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2015",24262.296,,,"R1:3513"
