"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"IRL","BA:772","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2018",1826.4,,"I20:4077_I23:3547",
"IRL","BA:772","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2018",400.9,,"I20:4077_I23:3547",
"IRL","BA:772","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2018",1425.5,,"I20:4077_I23:3547",
"IRL","BA:772","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2017",1756,,"I23:3547","S3:7_T3:94"
"IRL","BA:772","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2017",393.7,,"I23:3547","S3:7_T3:94"
"IRL","BA:772","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2017",1362.3,,"I23:3547","S3:7_T3:94"
"IRL","BA:772","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2016",1691.9,,"I23:3547","S3:7_T3:94"
"IRL","BA:772","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2016",389.8,,"I23:3547","S3:7_T3:94"
"IRL","BA:772","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2016",1302.1,,"I23:3547","S3:7_T3:94"
"IRL","BA:772","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2015",1620.7,,"I23:3547","S3:7_T3:94"
"IRL","BA:772","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2015",376.2,,"I23:3547","S3:7_T3:94"
"IRL","BA:772","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2015",1244.6,,"I23:3547","S3:7_T3:94"
