"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"JPN","BA:259","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2023",67140.978,,,"R1:3513"
"JPN","BA:259","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2023",5262.875,,,"R1:3513"
"JPN","BA:259","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2023",61878.103,,,"R1:3513"
"JPN","BA:259","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2022",66853.454,,,"R1:3513"
"JPN","BA:259","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2022",5239.096,,,"R1:3513"
"JPN","BA:259","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2022",61614.358,,,"R1:3513"
"JPN","BA:259","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2021",66266.405,,,"R1:3513"
"JPN","BA:259","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2021",5223.542,,,"R1:3513"
"JPN","BA:259","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2021",61042.863,,,"R1:3513"
"JPN","BA:259","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2020",66329.864,,,"R1:3513"
"JPN","BA:259","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2020",5133.95,,,"R1:3513"
"JPN","BA:259","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2020",61195.914,,,"R1:3513"
"JPN","BA:259","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2019",66769.405,,,"R1:3513"
"JPN","BA:259","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2019",5067.771,,,"R1:3513"
"JPN","BA:259","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2019",61701.634,,,"R1:3513"
"JPN","BA:259","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2018",66129.955,,,"R1:3513"
"JPN","BA:259","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2018",4927.818,,,"R1:3513"
"JPN","BA:259","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2018",61202.137,,,"R1:3513"
"JPN","BA:259","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2017",64815.098,,,"R1:3513"
"JPN","BA:259","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2017",4886.008,,,"R1:3513"
"JPN","BA:259","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2017",59929.09,,,"R1:3513"
"JPN","BA:259","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2016",63957.626,,,"R1:3513"
"JPN","BA:259","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2016",4867.644,,,"R1:3513"
"JPN","BA:259","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2016",59089.982,,,"R1:3513"
"JPN","BA:259","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2015",63200.991,,,"R1:3513"
"JPN","BA:259","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2015",4887.474,,,"R1:3513"
"JPN","BA:259","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2015",58313.518,,,"R1:3513"
