"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"NLD","BA:2236","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2020",9282,,"I20:3359_I13:3326_I23:3548","S5:40"
"NLD","BA:2236","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2020",1246,,"I20:3359_I13:3326_I23:3548","S5:40"
"NLD","BA:2236","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2020",8036,,"I20:3359_I13:3326_I23:3548","S5:40"
"NLD","BA:2236","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2019",8982,,"I20:3359_I23:3548","S5:40"
"NLD","BA:2236","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2019",1791,,"I20:3359_I23:3548","S5:40"
"NLD","BA:2236","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2019",7192,,"I20:3359_I23:3548","S5:40"
"NLD","BA:2236","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2018",8798,,"I20:3359_I23:3548","S5:40"
"NLD","BA:2236","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2018",501,,"I20:3359_I23:3548","S5:40"
"NLD","BA:2236","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2018",7087,,"I20:3359_I23:3548","S5:40"
"NLD","BA:2236","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2017",7404,,"I23:3547","S5:40"
"NLD","BA:2236","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2017",496,,"I23:3547","S5:40"
"NLD","BA:2236","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2017",6908,,"I23:3547","S5:40"
"NLD","BA:2236","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2016",8427,,"I23:3547","S5:40"
"NLD","BA:2236","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2016",5048,,"I23:3547","S5:40"
"NLD","BA:2236","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2016",2337,,"I23:3547","S5:40"
