"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"NOR","BA:2250","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2020",2710,,"I20:4077_I23:3547","T3:104"
"NOR","BA:2250","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2020",873,,"I20:4077_I23:3547","T3:104"
"NOR","BA:2250","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2020",1816,,"I20:4077_I23:3547","T3:104"
"NOR","BA:2250","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2019",2724,,"I20:4077_I23:3547","T3:104"
"NOR","BA:2250","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2019",882,,"I20:4077_I23:3547","T3:104"
"NOR","BA:2250","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2019",1822,,"I20:4077_I23:3547","T3:104"
"NOR","BA:2250","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2018",2694,,"I20:4077_I23:3547","T3:104"
"NOR","BA:2250","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2018",873,,"I20:4077_I23:3547","T3:104"
"NOR","BA:2250","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2018",1801,,"I20:4077_I23:3547","T3:104"
"NOR","BA:2250","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2017",2652,,"I20:4077_I23:3547","T3:104"
"NOR","BA:2250","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2017",853,,"I20:4077_I23:3547","T3:104"
"NOR","BA:2250","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2017",1784,,"I20:4077_I23:3547","T3:104"
"NOR","BA:2250","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2016",2638,,"I20:4077_I23:3547","T3:104"
"NOR","BA:2250","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2016",840,,"I20:4077_I23:3547","T3:104"
"NOR","BA:2250","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2016",1786,,"I20:4077_I23:3547","T3:104"
"NOR","BA:2250","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2015",2639,,"I20:4077_I23:3547","T3:104"
"NOR","BA:2250","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2015",833,,"I20:4077_I23:3547","T3:104"
"NOR","BA:2250","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2015",1792,,"I20:4077_I23:3547","T3:104"
