"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"SWE","BA:2519","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2020",5064.29,,"I20:4077_I23:3547","T3:104"
"SWE","BA:2519","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2020",1482.947,,"I20:4077_I23:3547","T3:104"
"SWE","BA:2519","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2020",3530.759,,"I20:4077_I23:3547","T3:104"
"SWE","BA:2519","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2019",5132,,"I20:4077_I23:3548","T3:104"
"SWE","BA:2519","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2019",1501,,"I20:4077_I23:3548","T3:104"
"SWE","BA:2519","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2019",3580,,"I20:4077_I23:3548","T3:104"
"SWE","BA:2519","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2017",5022,,"I23:3547",
"SWE","BA:2519","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2017",1467,,"I23:3547",
"SWE","BA:2519","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2017",3509,,"I23:3547",
"SWE","BA:2519","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2016",4910,,"I23:3547",
"SWE","BA:2519","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2016",1419,,"I23:3547",
"SWE","BA:2519","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2016",3444,,"I23:3547",
"SWE","BA:2519","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2015",4837,,"I23:3547",
"SWE","BA:2519","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2015",1385,,"I23:3547",
"SWE","BA:2519","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2015",3399,,"I23:3547",
