"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2025",163492.861,"B","I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2025",21940.614,"B","I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2025",141552.247,"B","I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2024",161345.53,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2024",21775.673,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2024",139569.857,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2023",161036.522,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2023",21590.847,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2023",139445.674,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2022",158291.136,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2022",21191.87,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2022",137099.266,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2021",152580.672,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2021",20693.202,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2021",131887.47,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2020",147794.858,"B","I11:264","R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2020",20633.432,"B","I11:264","R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2020",127161.426,"B","I11:264","R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2019",157538.068,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2019",21013,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2019",136525.068,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2018",155761.05,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2018",20976.592,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2018",134784.457,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2017",153337.437,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2017",20886.221,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2017",132451.217,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2016",151435.913,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2016",20672.182,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2016",130763.732,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2015",148833.528,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2015",20636.622,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2015",128196.907,,,"R1:3513_T2:85"
