"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2025",42553.38,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2025",20403.462,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2025",18651.921,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2025",3122.653,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2025",375.344,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",42553.38,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",1879.272,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",10042.855,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",8481.335,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",5246.187,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",5949.536,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2025",508.204,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",4602.43,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",2345.564,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2025",3122.653,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2025",160.125,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2025",215.22,,,,"R1:2384"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2024",42824.198,,,,"R1:3513"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2024",20360.199,,,,"R1:3513"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2024",18868.422,,,,"R1:3513"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2024",3037.306,,,,"R1:3513"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2024",558.272,,,,"R1:3513"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",42824.198,,,,"R1:3513"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",1896.716,,,,"R1:3513"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2024",9975.01,,,,"R1:3513"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2024",8488.473,,,,"R1:3513"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2024",5395.499,,,,"R1:3513"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2024",5860.891,,,,"R1:3513"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2024",555.696,,,,"R1:3513"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2024",4426.687,,,,"R1:3513"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2024",2629.649,,,,"R1:3513"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2024",3037.306,,,,"R1:3513"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2024",166.09,,,,"R1:3513"
"DEU","BA:2242","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2024",392.181,,,,"R1:3513"
