"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2025",22221.112,,,,"R1:2384"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2025",8183.231,,,,"R1:2384"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2025",11263.592,,,,"R1:2384"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2025",2678.705,,,,"R1:2384"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2025",95.605,,,,"R1:2384"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",22221.112,,,,"R1:2384"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",942.228,,,,"R1:2384"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",4509.644,,,,"R1:2384"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",2731.359,,,,"R1:2384"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",2178.944,,,,"R1:2384"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",4584.204,,,,"R1:2384"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2025",438.12,,,,"R1:2384"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",2417.424,,,,"R1:2384"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",1644.565,,,,"R1:2384"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2025",2678.705,,,,"R1:2384"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2025",95.605,,,,"R1:2384"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2024",21653.892,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2024",7821.25,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2024",11040.2,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2024",2696.66,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2024",95.782,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",21653.892,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",830.302,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2024",4312.72,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2024",2678.228,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2024",2145.939,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2024",4519.405,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2024",432.039,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2024",2260.225,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2024",1682.592,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2024",2696.66,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2024",95.782,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2023",21182.206,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2023",7657.359,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2023",10928.914,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2023",2484.78,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2023",111.153,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2023",21182.206,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2023",944.132,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2023",4067.283,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2023",2645.944,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2023",2140.376,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2023",4402.444,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2023",447.19,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2023",2254.821,,,,"R1:3513"
"ESP","BA:2244","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2023",1684.084,,,,"R1:3513"
