"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2025",29382.907,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2025",14841.881,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2025",11609.602,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2025",2425.961,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2025",505.463,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",29382.907,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",2181.208,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",7488.352,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",5172.322,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",2281.564,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",4119.48,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2025",707.52,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",2702.812,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",1798.226,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2025",2425.961,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2025",204.909,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2025",300.555,,,,"R1:2384"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2024",29021.954,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2024",14410.28,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2024",11710.894,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2024",2424.311,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2024",476.469,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",29021.954,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",2118.685,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2024",7118.134,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2024",5173.461,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2024",2316.42,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2024",4148.222,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2024",715.197,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2024",2729.65,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2024",1801.404,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2024",2424.311,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2024",190.543,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2024",285.926,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2023",28588.583,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2023",14056.816,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2023",11741.408,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2023",2422.84,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2023",367.518,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2023",28588.583,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2023",2021.896,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2023",6850.116,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2023",5184.804,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2023",2307.978,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2023",4103.516,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2023",769.965,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2023",2720.318,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2023",1839.631,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2023",2422.84,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2023",194.154,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2023",173.364,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2022",28395.467,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2022",13556.797,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2022",11908.306,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2022",2397.325,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2022",533.039,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2022",28395.467,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2022",2016.321,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2022",6508.087,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2022",5032.389,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2022",2455.738,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2022",4021.913,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2022",794.572,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2022",2809.826,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2022",1826.257,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2022",2397.325,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2022",205.812,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2022",327.227,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2021",27929.633,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2021",13228.356,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2021",11454.824,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2021",2381.045,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2021",865.408,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2021",27929.633,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2021",1895.762,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2021",6407.092,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2021",4925.502,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2021",2408.872,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2021",3770.757,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2021",757.807,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2021",2718.45,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2021",1798.938,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2021",2381.045,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2021",202.914,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2021",662.494,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2020",26995.321,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2020",12916.33,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2020",11310.342,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2020",2416.725,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2020",351.924,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2020",26995.321,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2020",2107.155,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2020",5449.918,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2020",5359.257,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2020",2154.248,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2020",4158.799,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2020",767.766,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2020",2337.469,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2020",1892.061,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2020",2416.725,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2020",219.793,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2020",132.131,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2019",27132.732,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2019",12599.585,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2019",11648.535,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2019",2523.072,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2019",361.54,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2019",27132.732,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2019",2026.923,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2019",5146.067,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2019",5426.596,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2019",2173.933,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2019",4312.769,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2019",802.461,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2019",2426.962,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2019",1932.411,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2019",2523.072,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2019",238.746,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2019",122.794,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2018",27022.074,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2018",12326.982,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2018",11698.185,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2018",2655.5,,,,"R1:3513"
"FRA","BA:148","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2018",341.407,,,,"R1:3513"
