"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2025",24117.234,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2025",9008.683,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2025",12319.982,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2025",2545.186,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2025",243.382,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",24117.234,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",961.939,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",3861.744,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",4185,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",2852.9,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",4246.704,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2025",535.82,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",3185.468,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",1499.09,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2025",2545.186,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2025",243.382,,,,"R1:2384"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2024",23932.264,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2024",8964.268,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2024",12236.642,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2024",2496.84,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2024",234.514,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",23932.264,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",941.017,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2024",3797.584,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2024",4225.667,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2024",2895.886,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2024",4159.168,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2024",511.898,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2024",3165.597,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2024",1504.093,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2024",2496.84,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2024",234.514,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2023",23579.947,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2023",8673.6,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2023",12203.551,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2023",2481.542,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2023",221.253,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2023",23579.947,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2023",873.324,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2023",3659.244,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2023",4141.033,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2023",2957.282,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2023",4082.512,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2023",536.839,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2023",3062.033,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2023",1564.886,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2023",2481.542,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2023",221.253,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2022",23099.389,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2022",8242.015,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2022",12141.841,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2022",2498.784,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2022",216.748,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2022",23099.389,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2022",867.053,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2022",3476.136,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2022",3898.826,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2022",2945.567,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2022",3974.898,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2022",546.744,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2022",3058.254,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2022",1616.378,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2022",2498.784,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2022",216.748,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2021",22553.956,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2021",8082.807,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2021",11781.436,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2021",2485.954,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2021",203.759,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2021",22553.956,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2021",810.293,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2021",3396.574,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2021",3875.94,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2021",2890.468,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2021",3773.872,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2021",546.418,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2021",2970.514,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2021",1600.163,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2021",2485.954,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2021",203.759,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2020",22617.615,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2020",8371.192,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2020",11550.715,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2020",2460.628,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2020",235.08,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2020",22617.615,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2020",822.1,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2020",3550.397,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2020",3998.696,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2020",2730.458,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2020",3781.994,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2020",548.593,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2020",2922.919,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2020",1566.75,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2020",2460.628,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2020",235.08,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2019",23136.253,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2019",8480.843,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2019",11906.225,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2019",2515.842,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2019",233.344,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2019",23136.253,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2019",834.552,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2019",3563.665,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2019",4082.627,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2019",2745.157,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2019",4060.27,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2019",563.134,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2019",2951.339,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2019",1586.325,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2019",2515.842,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2019",233.344,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2018",22984.513,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2018",8400.133,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2018",11834.251,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2018",2508.864,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2018",241.265,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2018",22984.513,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2018",859.08,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2018",3475.313,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2018",4065.74,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2018",2735.641,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2018",4021.722,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2018",530.612,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2018",3000.746,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2018",1545.53,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2018",2508.864,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2018",235.063,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2018",6.202,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2017",23021.942,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2017",8310.094,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2017",11910.805,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2017",2560.498,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2017",240.546,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2017",23021.942,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2017",864.281,,,,"R1:3513"
"ITA","BA:2238","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2017",3413.966,,,,"R1:3513"
