"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2025",9898.995,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2025",5557.038,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2025",3551.349,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2025",710.136,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2025",80.473,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",9898.995,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",592.808,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",3262.016,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",1702.214,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",807.316,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",1605.069,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2025",135.889,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",623.496,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",379.579,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2025",710.136,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2025",28.759,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2025",51.714,,,,"R1:2384"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2024",9865.907,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2024",5399.637,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2024",3656.718,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2024",723.765,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2024",85.787,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",9865.907,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",619.512,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2024",3110.811,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2024",1669.314,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2024",817.738,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2024",1663.29,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2024",139.076,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2024",652.286,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2024",384.328,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2024",723.765,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2024",26.653,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2024",59.134,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2023",9785.544,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2023",5231.569,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2023",3703.412,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2023",755.682,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2023",94.882,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2023",9785.544,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2023",587.818,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2023",3010.31,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2023",1633.441,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2023",809.671,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2023",1693.269,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2023",137.31,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2023",673.208,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2023",389.953,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2023",755.682,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2023",27.361,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2023",67.521,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2022",9583.053,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2022",5093.018,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2022",3653.426,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2022",753.202,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2022",83.407,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2022",9583.053,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2022",542.372,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2022",2958.017,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2022",1592.629,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2022",829.514,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2022",1666.139,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2022",125.386,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2022",657.475,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2022",374.913,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2022",753.202,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2022",26.385,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2022",57.022,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2021",9284.489,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2021",4854.706,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2021",3599.787,,,,"R1:3513"
"NLD","BA:2236","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2021",735.011,,,,"R1:3513"
