"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2025",5328.944,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2025",3079.957,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2025",1988.194,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2025",229.534,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2025",31.358,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",5328.944,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",336.84,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",1774.978,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",968.298,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",295.572,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",867.071,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2025",80.676,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",452.099,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",292.689,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2025",229.534,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2025",22.71,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2025",8.557,,,,"R1:2384"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2024",5302.839,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2024",3074.551,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2024",1973.262,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2024",227.682,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2024",27.343,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",5302.839,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",333.853,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2024",1770.964,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2024",969.734,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2024",309.844,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2024",858.133,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2024",87.856,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2024",436.104,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2024",281.324,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2024",227.682,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2024",19.245,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2024",8.098,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2023",5335.721,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2023",3090.488,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2023",2004.619,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2023",217.567,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2023",23.047,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2023",5335.721,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2023",338.03,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2023",1777.528,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2023",974.93,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2023",322.622,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2023",876.374,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2023",86.365,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2023",433.655,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2023",285.603,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2023",217.567,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2023",17.543,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2023",5.504,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2022",5257.161,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2022",3003.848,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2022",1994.967,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2022",227.79,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2022",30.556,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2022",5257.161,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2022",341.139,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2022",1726.01,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2022",936.7,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2022",306.255,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2022",865.97,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2022",90.533,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2022",448.361,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2022",283.848,,,,"R1:3513"
