"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2012",4657.114,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2012",2215.762,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2012",2168.63,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2012",234.709,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2012",38.013,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2012",4657.114,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2012",267.092,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2012",1177.48,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2012",771.189,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2012",276,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2012",962.976,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2012",87.304,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2012",482.032,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2012",360.318,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2012",234.709,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2012",12.407,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2012",25.606,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2011",4625.894,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2011",2153.299,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2011",2200.401,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2011",237.749,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2011",34.444,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2011",4625.894,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2011",245.075,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2011",1155.487,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2011",752.737,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2011",275.616,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2011",967.355,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2011",82.969,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2011",499.928,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2011",374.532,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2011",237.749,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2011",11.688,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2011",22.756,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2010",4523.69,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2010",2095.078,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2010",2144.622,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2010",268.53,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2010",15.46,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_TOTAL","2010",4523.69,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_1","2010",245.339,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_2","2010",888.024,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_3","2010",961.715,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_4","2010",361.669,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_5","2010",841.967,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_6","2010",92.356,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_7","2010",437.55,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_8","2010",411.08,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_9","2010",268.53,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_0","2010",10.293,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_X","2010",5.166,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2009",4499.341,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2009",2062.411,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2009",2153.412,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2009",270.235,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2009",13.284,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_TOTAL","2009",4499.341,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_1","2009",239.354,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_2","2009",892.216,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_3","2009",930.841,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_4","2009",379.706,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_5","2009",850.483,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_6","2009",93.336,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_7","2009",427.094,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_8","2009",402.793,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_9","2009",270.235,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_0","2009",9.141,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_X","2009",4.143,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2008",4592.96,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2008",2052.123,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2008",2246.544,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2008",277.742,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2008",16.551,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_TOTAL","2008",4592.96,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_1","2008",235.37,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_2","2008",899.314,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_3","2008",917.438,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_4","2008",397.563,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_5","2008",861.303,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_6","2008",91.604,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_7","2008",446.281,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_8","2008",449.792,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_9","2008",277.742,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_0","2008",9.338,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_X","2008",7.214,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2007",4540.666,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2007",2016.65,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2007",2234.066,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2007",272.617,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2007",17.333,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_TOTAL","2007",4540.666,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_1","2007",236.322,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_2","2007",879.607,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_3","2007",900.721,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_4","2007",400.964,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_5","2007",855.145,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_6","2007",92.34,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_7","2007",439.282,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_8","2007",446.333,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_9","2007",272.617,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_0","2007",9.988,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_X","2007",7.345,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2006",4429.443,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2006",1957.341,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2006",2192.14,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2006",264.875,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2006",15.088,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_TOTAL","2006",4429.443,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_1","2006",225.778,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_2","2006",855.424,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_3","2006",876.139,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_4","2006",395.261,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_5","2006",833.362,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_6","2006",95.389,,,,"R1:3513"
"SWE","BA:2519","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO88_7","2006",429.437,,,,"R1:3513"
