"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2025",163492.861,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2025",85788.083,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2025",60735.228,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2025",16969.549,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",163492.861,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",19125.201,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",37604.991,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",29057.892,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",13525.102,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",24057.853,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2025",651.845,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",13322.34,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",9178.089,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2025",16969.549,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2024",161345.53,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2024",84381.942,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2024",60031.066,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2024",16932.522,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",161345.53,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",18856.024,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2024",37483.721,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2024",28042.197,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2024",13416.109,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2024",23516.2,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2024",637.851,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2024",13296.187,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2024",9164.719,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2024",16932.522,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2023",161036.522,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2023",83672.891,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2023",60806.019,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2023",16557.612,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2023",161036.522,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2023",19098.751,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2023",36910.464,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2023",27663.676,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2023",13572.068,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2023",23738.454,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2023",671.114,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2023",13417.057,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2023",9407.325,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2023",16557.612,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2022",158291.136,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2022",81450.553,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2022",60107.497,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2022",16733.086,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2022",158291.136,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2022",18546.2,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2022",35904.889,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2022",26999.464,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2022",13621.712,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2022",23104.584,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2022",670.049,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2022",13390.307,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2022",9320.846,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2022",16733.086,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2021",152580.672,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2021",71365.594,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2021",53797.362,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2021",14876.646,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2021",12541.07,,,,"R1:3513_T2:85"
