"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2012",142469.096,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2012",64839.077,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2012",65223.044,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2012",12406.975,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2012",142469.096,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2012",14634.104,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2012",29555.916,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2012",20649.057,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2012",15170.49,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2012",26914.802,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2012",590.046,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2012",14025.264,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2012",8522.442,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2012",12406.975,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2011",139869.209,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2011",63381.437,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2011",64585.107,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2011",11902.665,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2011",139869.209,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2011",13939.033,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2011",28970.031,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2011",20472.373,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2011",15124.898,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2011",26230.011,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2011",605.089,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2011",14254.462,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2011",8370.647,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2011",11902.665,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2010",139063.968,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2010",64046.143,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2010",63310.334,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2010",11707.491,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2010",139063.968,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2010",13588.798,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2010",28886.866,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2010",21570.479,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2010",15147.406,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2010",25023.248,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2010",560.459,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2010",14341.042,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2010",8238.179,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2010",11707.491,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2009",139877.462,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2009",64705.317,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2009",63405.204,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2009",11766.941,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2009",139877.462,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2009",14073.048,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2009",29066.181,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2009",21566.089,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2009",15227.08,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2009",25139.129,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2009",576.85,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2009",14127.759,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2009",8334.386,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2009",11766.941,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2008",145362.386,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2008",65574.771,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2008",67163.42,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2008",12624.195,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2008",145362.386,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2008",14415.155,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2008",29261.229,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2008",21898.387,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2008",16198.99,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2008",25454.158,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2008",603.106,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2008",15739.304,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2008",9167.861,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2008",12624.195,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2007",146046.519,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2007",65132.203,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2007",68141.36,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2007",12772.956,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2007",146046.519,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2007",14049.879,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2007",28859.214,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2007",22223.11,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2007",16333.492,,,,"R1:3513_T2:85"
"USA","BA:453","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2007",25347.474,,,,"R1:3513_T2:85"
