scenario,t_years,policy,z3M,z1Y,z2Y,z3Y,z5Y,z7Y,z10Y,wage_bill_real
status quo,0.0,2.75,2.7594,2.7855,2.815,2.8401,2.88,2.9096,2.941,1.0
status quo,0.25,2.75,2.7594,2.7856,2.815,2.8401,2.8798,2.9093,2.9407,1.0
status quo,0.5,2.75,2.7594,2.7856,2.815,2.84,2.8796,2.909,2.9404,1.0
status quo,0.75,2.75,2.7594,2.7857,2.8151,2.8399,2.8794,2.9088,2.94,1.0
status quo,1.0,2.75,2.7595,2.7858,2.8151,2.8399,2.8792,2.9085,2.9396,1.0
status quo,1.25,2.75,2.7595,2.7859,2.8151,2.8398,2.879,2.9082,2.9392,1.0
status quo,1.5,2.75,2.7595,2.7859,2.8151,2.8397,2.8788,2.9079,2.9388,1.0
status quo,1.75,2.75,2.7595,2.7859,2.815,2.8396,2.8786,2.9076,2.9385,1.0
status quo,2.0,2.75,2.7595,2.7859,2.815,2.8395,2.8785,2.9075,2.9384,1.0
status quo,2.25,2.75,2.7595,2.7857,2.8148,2.8394,2.8784,2.9075,2.9384,1.0
status quo,2.5,2.75,2.7594,2.7855,2.8146,2.8393,2.8785,2.9076,2.9386,1.0
status quo,2.75,2.75,2.7593,2.7852,2.8144,2.8392,2.8785,2.9078,2.939,1.0
status quo,3.0,2.75,2.7593,2.7849,2.8142,2.839,2.8786,2.9081,2.9394,1.0
status quo,3.25,2.75,2.7592,2.7847,2.814,2.839,2.8787,2.9082,2.9397,1.0
status quo,3.5,2.75,2.7592,2.7846,2.8139,2.839,2.8787,2.9083,2.9398,1.0
status quo,3.75,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9398,1.0
status quo,4.0,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9398,1.0
status quo,4.25,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,4.5,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,4.75,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,5.0,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,5.25,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,5.5,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,5.75,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,6.0,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,6.25,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,6.5,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,6.75,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,7.0,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,7.25,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,7.5,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,7.75,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,8.0,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,8.25,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,8.5,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,8.75,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,9.0,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,9.25,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,9.5,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,9.75,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,10.0,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,10.25,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,10.5,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,10.75,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,11.0,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,11.25,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,11.5,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,11.75,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,12.0,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,12.25,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,12.5,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,12.75,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,13.0,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,13.25,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,13.5,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,13.75,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,14.0,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,14.25,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,14.5,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,14.75,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,15.0,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,15.25,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,15.5,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,15.75,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,16.0,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,16.25,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,16.5,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,16.75,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,17.0,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,17.25,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,17.5,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,17.75,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,18.0,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,18.25,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,18.5,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,18.75,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,19.0,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,19.25,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,19.5,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,19.75,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,20.0,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,20.25,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,20.5,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,20.75,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,21.0,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,21.25,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,21.5,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,21.75,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,22.0,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,22.25,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,22.5,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,22.75,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,23.0,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,23.25,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,23.5,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,23.75,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,24.0,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,24.25,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,24.5,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,24.75,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
status quo,25.0,2.75,2.7592,2.7846,2.8139,2.8389,2.8788,2.9084,2.9399,1.0
deficits dominate,0.0,2.75,2.7595,2.7877,2.8204,2.8481,2.8921,2.9246,2.9591,1.0
deficits dominate,0.25,2.75,2.7595,2.7881,2.821,2.8489,2.8932,2.9259,2.9605,1.00042
deficits dominate,0.5,2.75,2.7596,2.7885,2.8217,2.8498,2.8943,2.9272,2.962,1.00096
deficits dominate,0.75,2.75,2.7597,2.789,2.8224,2.8507,2.8955,2.9286,2.9637,1.00158
deficits dominate,1.0,2.75,2.7598,2.7896,2.8233,2.8519,2.897,2.9303,2.9656,1.00231
deficits dominate,1.25,2.75,2.7599,2.7903,2.8245,2.8533,2.8989,2.9325,2.9681,1.00315
deficits dominate,1.5,2.75,2.76,2.7913,2.826,2.8552,2.9014,2.9354,2.9714,1.00413
deficits dominate,1.75,2.75,2.7603,2.7927,2.8283,2.8581,2.9051,2.9397,2.9763,1.00526
deficits dominate,2.0,2.75,2.7606,2.795,2.8318,2.8626,2.911,2.9466,2.9841,1.00658
