observation_date,A2013C1A027NBEA
1929-01-01,6.555
1930-01-01,6.203
1931-01-01,5.685
1932-01-01,4.916
1933-01-01,4.307
1934-01-01,4.125
1935-01-01,4.161
1936-01-01,4.282
1937-01-01,4.503
1938-01-01,4.667
1939-01-01,4.739
1940-01-01,4.873
1941-01-01,5.287
1942-01-01,5.815
1943-01-01,6.255
1944-01-01,6.784
1945-01-01,7.294
1946-01-01,8.334
1947-01-01,9.543
1948-01-01,10.863
1949-01-01,12.028
1950-01-01,13.495
1951-01-01,15.302
1952-01-01,17.212
1953-01-01,19.233
1954-01-01,21.019
1955-01-01,22.726
1956-01-01,24.548
1957-01-01,26.392
1958-01-01,28.367
1959-01-01,30.593
1960-01-01,32.872
1961-01-01,34.967
1962-01-01,37.441
1963-01-01,39.596
1964-01-01,41.866
1965-01-01,44.574
1966-01-01,47.336
1967-01-01,50.419
1968-01-01,54.046
1969-01-01,58.953
1970-01-01,63.800
1971-01-01,70.005
1972-01-01,76.658
1973-01-01,83.961
1974-01-01,92.783
1975-01-01,101.897
1976-01-01,111.864
1977-01-01,124.709
1978-01-01,141.762
1979-01-01,160.721
1980-01-01,182.457
1981-01-01,205.232
1982-01-01,222.535
1983-01-01,239.988
1984-01-01,261.507
1985-01-01,284.559
1986-01-01,309.053
1987-01-01,332.959
1988-01-01,361.611
1989-01-01,388.896
1990-01-01,417.582
1991-01-01,441.439
1992-01-01,468.012
1993-01-01,494.499
1994-01-01,530.295
1995-01-01,566.197
1996-01-01,599.896
1997-01-01,636.381
1998-01-01,681.405
1999-01-01,726.337
2000-01-01,777.733
2001-01-01,838.217
2002-01-01,876.882
2003-01-01,918.897
2004-01-01,973.223
2005-01-01,1045.863
2006-01-01,1106.501
2007-01-01,1170.959
2008-01-01,1244.912
2009-01-01,1261.738
2010-01-01,1285.253
2011-01-01,1302.750
2012-01-01,1320.750
2013-01-01,1362.402
2014-01-01,1391.209
2015-01-01,1430.895
2016-01-01,1489.688
2017-01-01,1553.227
2018-01-01,1614.650
2019-01-01,1686.527
2020-01-01,1791.261
2021-01-01,1891.452
2022-01-01,2021.105
