rt,fmr,pairing,site_share,floor_rent_pp,ceiling
z1_hh_gs10,fmr_medcty,single_eff,0.3,9960.0,0.987644308782629
z1_hh_gs10,fmr_medcty,single_eff,0.5,9960.0,0.5925865852695774
z1_hh_gs10,fmr_medcty,pc4_2br,0.3,3288.0,2.9917692565313216
z1_hh_gs10,fmr_medcty,pc4_2br,0.5,3288.0,1.7950615539187929
z1_hh_gs10,fmr_popwt,single_eff,0.3,15380.565863868716,0.6395692721932581
z1_hh_gs10,fmr_popwt,single_eff,0.5,15380.565863868716,0.3837415633159548
z1_hh_gs10,fmr_popwt,pc4_2br,0.3,4993.756894988205,1.9698470554999292
z1_hh_gs10,fmr_popwt,pc4_2br,0.5,4993.756894988205,1.1819082332999573
z1_hh_gs10p,fmr_medcty,single_eff,0.3,9960.0,1.332840377871703
z1_hh_gs10p,fmr_medcty,single_eff,0.5,9960.0,0.7997042267230218
z1_hh_gs10p,fmr_medcty,pc4_2br,0.3,3288.0,4.03743618114421
z1_hh_gs10p,fmr_medcty,pc4_2br,0.5,3288.0,2.422461708686526
z1_hh_gs10p,fmr_popwt,single_eff,0.3,15380.565863868716,0.8631080469404162
z1_hh_gs10p,fmr_popwt,single_eff,0.5,15380.565863868716,0.5178648281642496
z1_hh_gs10p,fmr_popwt,pc4_2br,0.3,4993.756894988205,2.6583372884901957
z1_hh_gs10p,fmr_popwt,pc4_2br,0.5,4993.756894988205,1.5950023730941172
flow_ls30,fmr_medcty,single_eff,0.3,9960.0,0.9721615211753596
flow_ls30,fmr_medcty,single_eff,0.5,9960.0,0.5832969127052158
flow_ls30,fmr_medcty,pc4_2br,0.3,3288.0,2.9448688415166004
flow_ls30,fmr_medcty,pc4_2br,0.5,3288.0,1.7669213049099601
flow_ls30,fmr_popwt,single_eff,0.3,15380.565863868716,0.6295430764126033
flow_ls30,fmr_popwt,single_eff,0.5,15380.565863868716,0.37772584584756197
flow_ls30,fmr_popwt,pc4_2br,0.3,4993.756894988205,1.9389667848317338
flow_ls30,fmr_popwt,pc4_2br,0.5,4993.756894988205,1.16338007089904
flow_ls50,fmr_medcty,single_eff,0.3,9960.0,1.6202692019589326
flow_ls50,fmr_medcty,single_eff,0.5,9960.0,0.9721615211753596
flow_ls50,fmr_medcty,pc4_2br,0.3,3288.0,4.908114735861001
flow_ls50,fmr_medcty,pc4_2br,0.5,3288.0,2.9448688415166
flow_ls50,fmr_popwt,single_eff,0.3,15380.565863868716,1.0492384606876721
flow_ls50,fmr_popwt,single_eff,0.5,15380.565863868716,0.6295430764126032
flow_ls50,fmr_popwt,pc4_2br,0.3,4993.756894988205,3.2316113080528894
flow_ls50,fmr_popwt,pc4_2br,0.5,4993.756894988205,1.9389667848317336
