year,kappa_min,kappa_med,kappa_max,k_z1_hh_gs10_pc4,k_z1_hh_gs10_single,k_z1_hh_gs10p_pc4,k_z1_hh_gs10p_single,k_z1_econ_gs10_pc4,k_z1_econ_gs10_single,k_z1_econ_gs10p_pc4,k_z1_econ_gs10p_single,k_flow_ls30_pc4,k_flow_ls30_single,k_flow_ls50_pc4,k_flow_ls50_single
1953,0.012674689793971579,0.04847389955117504,0.13359301412680852,0.024960386550788024,0.012674689793971579,0.03808719677422543,0.019340381738600185,0.0725892876468649,0.03686027463626516,0.11076440970501356,0.05624530414890947,0.08015580847608511,0.04070249495344061,0.13359301412680852,0.0678374915890677
1954,0.010760869697028384,0.04703177386085923,0.14134642097430933,0.02119148252355973,0.010760869697028384,0.03442696779157066,0.017481745982472895,0.061821043377752426,0.03139224410480675,0.10043238205920778,0.05099878101967564,0.08480785258458559,0.043064766702042824,0.14134642097430933,0.07177461117007136
1955,0.01340608972936019,0.05194625798598326,0.148393347229434,0.026400739364724674,0.01340608972936019,0.04046030470688575,0.020545427455054967,0.07540434593496274,0.03828973929944212,0.1155605064920435,0.05868072472518052,0.08903600833766041,0.045211791246785996,0.148393347229434,0.07535298541131
1956,0.016474631927295237,0.05765138397556466,0.15337126041682847,0.032443648552473996,0.016474631927295237,0.04773523467304304,0.02423958020410367,0.09043627343268515,0.04592283495088298,0.13306138267040007,0.06756753327808628,0.09202275625009708,0.04672843856336098,0.15337126041682847,0.07788073093893498
1957,0.020078395857260095,0.06576148558055225,0.15597361626683176,0.039540574961867705,0.020078395857260095,0.055801263774150525,0.028335446929471243,0.10566552398580209,0.053656129712270934,0.14911947490525462,0.07572170738695398,0.09358416976009906,0.04752131217688147,0.15597361626683176,0.07920218696146912
1958,0.018068920148534364,0.06155132633129626,0.15970772848698883,0.035583295433175094,0.018068920148534364,0.051680287586911004,0.026242847333093768,0.09684326874923947,0.04917625724799043,0.14065273940735235,0.07142236507568152,0.0958246370921933,0.048659004029931924,0.15970772848698883,0.08109834004988653
1959,0.024872859432655953,0.07535615101049377,0.17508717052188094,0.04898235745049893,0.024872859432655953,0.06593778887567164,0.03348269539011379,0.13006475524482583,0.06604586922172326,0.17508717052188094,0.0889079008753967,0.10004064438173937,0.050799859679558565,0.16673440730289896,0.08466643279926428
1960,0.026002339878976995,0.07861579790981213,0.174710200715843,0.051206653981617105,0.026002339878976995,0.06986494895467597,0.035476876676984806,0.12805169013891163,0.06502365044716162,0.174710200715843,0.08871647854531768,0.10323117864860896,0.05241998811896897,0.17205196441434828,0.08736664686494829
1961,0.025718639935405494,0.07893779845777621,0.17809073642718698,0.05064796099811311,0.025718639935405494,0.07021575017961205,0.03565501080549133,0.12452085690852448,0.06323072084575725,0.17262936569481857,0.08765984673594036,0.1068544418563122,0.05425985294262088,0.17809073642718698,0.09043308823770146
1962,0.028758157522376086,0.08551807710511343,0.18521775506695579,0.0566337117448327,0.028758157522376086,0.07816289466789475,0.03969050885084006,0.13251927380145304,0.06729225461865992,0.18289618886853123,0.09287325954233211,0.11113065304017347,0.056431279660659514,0.18521775506695579,0.09405213276776588
1963,0.030684261286455232,0.089665697132919,0.19073163613960709,0.06042680611399112,0.030684261286455232,0.08307270472010897,0.04218367213709429,0.13788759667634026,0.07001824714344032,0.18956314821025919,0.09625868954572901,0.11443898168376425,0.05811122316669068,0.19073163613960709,0.09685203861115113
1964,0.03203774210097071,0.09273989980888822,0.19995840905785858,0.06309222868989116,0.03203774210097071,0.08569692845935854,0.04351623250338857,0.1472143972899592,0.0747543238186676,0.19995840905785858,0.10153732200210742,0.11790201144549632,0.059869722695050746,0.19650335240916053,0.0997828711584179
1965,0.032525599664161645,0.0948829682697434,0.20664136301787941,0.06405297120563802,0.032525599664161645,0.08648833765244646,0.04391810392481372,0.15303789660597816,0.07771145139342528,0.20664136301787941,0.10493087394804007,0.12203133167727019,0.06196655933222422,0.20338555279545034,0.10327759888704037
1966,0.03760814936061681,0.10090380347697886,0.2340643967458127,0.07406208441860598,0.03760814936061681,0.0966267005244778,0.049066285591001076,0.17940483341648433,0.09110037644914985,0.2340643967458127,0.1188560767891075,0.12428025260976909,0.06310854385768795,0.20713375434961517,0.10518090642947993
1967,0.03915224202127785,0.10382680103823343,0.24156697529507187,0.07710288070686432,0.03915224202127785,0.0998993960275535,0.0507281348659395,0.1864426655167847,0.09467413274943222,0.24156697529507187,0.12266582771477025,0.12732082658464955,0.06465252362934801,0.21220137764108257,0.10775420604891335
1968,0.046059323809423465,0.11245262544690399,0.27322377503003614,0.09070506223339149,0.046059323809423465,0.11480382415517815,0.0582964873307463,0.21587067939690904,0.10961744888856029,0.27322377503003614,0.13874090394382355,0.1300942689341355,0.06606085604317789,0.2168237815568925,0.11010142673862983
1969,0.05812260231936512,0.13329112769005713,0.3220654620092514,0.11446139075680599,0.05812260231936512,0.14019911759781173,0.07119201945551219,0.26294074690301444,0.13351926238841383,0.3220654620092514,0.16354233200729518,0.1330629929917004,0.06756835098669463,0.22177165498616738,0.11261391831115772
1970,0.06436560984622487,0.14063847854482558,0.34850836851761463,0.12675580455650423,0.06436560984622487,0.15263020330924945,0.07750442791417732,0.28942802727334016,0.14696929696607272,0.34850836851761463,0.17696983388361986,0.13430766012357845,0.06820038325755737,0.2238461002059641,0.11366730542926229
1971,0.054959046792064696,0.13113370061874458,0.31267102661170276,0.1082313709204343,0.054959046792064696,0.13458997836959974,0.06834374226300455,0.25143635705441136,0.1276774228678894,0.31267102661170276,0.1587719109158127,0.13938523461723512,0.0707787360199207,0.23230872436205854,0.11796456003320117
1972,0.061218969285742525,0.14335575258665917,0.3450390432830764,0.12055909552435227,0.061218969285742525,0.1496796499988335,0.0760061599344726,0.2779108247455129,0.14112095126687735,0.3450390432830764,0.17520813756322454,0.145590553906441,0.07392974880184211,0.24265092317740164,0.1232162480030702
