year,panel_tier,pce_b,dpi_b,hard_minimum_intertemporal_share_pce,labor_financing_source_free_lower_share_pce,labor_financing_source_free_upper_share_pce,labor_financing_proportional_tax_lower_share_pce,labor_financing_proportional_tax_upper_share_pce,labor_financing_weak_central_share_pce,net_personal_selfemp_social_contrib_b,personal_current_taxes_b,source_profile_status,remaining_weakness
2004,STRONG_ANNUAL_DPI_RANKED_SOURCE_PROFILES__PARTIAL_IDENTIFICATION,8231.96,8967.128,0.09946429480839725,0.5981587436548602,0.8310330596834193,0.6330446738113217,0.7921371764085725,0.6963829104648008,420.48799999999983,1048.745,ACTUAL ANNUAL BEA DPI-RANKED PROFILE,"Proprietor labor split, transfer funding look-through, personal-tax source incidence, and within-decile spending-source fungibility."
2005,STRONG_ANNUAL_DPI_RANKED_SOURCE_PROFILES__PARTIAL_IDENTIFICATION,8769.066,9333.646,0.11251213621994474,0.5886784442841294,0.8214257193904445,0.6266492498708092,0.7764880241687161,0.6875407166860984,445.28499999999997,1212.456,ACTUAL ANNUAL BEA DPI-RANKED PROFILE,"Proprietor labor split, transfer funding look-through, personal-tax source incidence, and within-decile spending-source fungibility."
2006,STRONG_ANNUAL_DPI_RANKED_SOURCE_PROFILES__PARTIAL_IDENTIFICATION,9277.236,9945.033,0.1183507310101227,0.5691694733652652,0.8156560662596587,0.6109582542397988,0.7687987646014557,0.6803642732024275,475.23199999999997,1356.963,ACTUAL ANNUAL BEA DPI-RANKED PROFILE,"Proprietor labor split, transfer funding look-through, personal-tax source incidence, and within-decile spending-source fungibility."
2007,STRONG_ANNUAL_DPI_RANKED_SOURCE_PROFILES__PARTIAL_IDENTIFICATION,9746.594,10439.63,0.10770002895370423,0.5700806125150425,0.8241777759138241,0.6156055124895685,0.7760361522342658,0.6832090117605464,499.74100000000004,1492.489,ACTUAL ANNUAL BEA DPI-RANKED PROFILE,"Proprietor labor split, transfer funding look-through, personal-tax source incidence, and within-decile spending-source fungibility."
2008,STRONG_ANNUAL_DPI_RANKED_SOURCE_PROFILES__PARTIAL_IDENTIFICATION,10050.083,10918.179,0.10427660837040661,0.5605014123317376,0.8254541697219238,0.6059619915413174,0.7769763215972253,0.6775020567609249,516.952,1507.501,ACTUAL ANNUAL BEA DPI-RANKED PROFILE,"Proprietor labor split, transfer funding look-through, personal-tax source incidence, and within-decile spending-source fungibility."
2009,STRONG_ANNUAL_DPI_RANKED_SOURCE_PROFILES__PARTIAL_IDENTIFICATION,9891.218,10913.304,0.08284026921659197,0.6007380370922578,0.8317752733386429,0.634178220601491,0.7944435714623997,0.6990017811020521,506.1740000000001,1152.378,ACTUAL ANNUAL BEA DPI-RANKED PROFILE,"Proprietor labor split, transfer funding look-through, personal-tax source incidence, and within-decile spending-source fungibility."
2010,STRONG_ANNUAL_DPI_RANKED_SOURCE_PROFILES__PARTIAL_IDENTIFICATION,10260.256,11319.008,0.0823289756745483,0.5958646005966682,0.8275010154084899,0.6308606662547609,0.7898787045394776,0.6961591206333546,514.7469999999997,1237.62,ACTUAL ANNUAL BEA DPI-RANKED PROFILE,"Proprietor labor split, transfer funding look-through, personal-tax source incidence, and within-decile spending-source fungibility."
2011,STRONG_ANNUAL_DPI_RANKED_SOURCE_PROFILES__PARTIAL_IDENTIFICATION,10698.857,11855.88,0.09463403829025849,0.5677311049544909,0.8206199771868254,0.6087830669422298,0.780301807181899,0.6823127663736147,423.909,1453.691,ACTUAL ANNUAL BEA DPI-RANKED PROFILE,"Proprietor labor split, transfer funding look-through, personal-tax source incidence, and within-decile spending-source fungibility."
2012,STRONG_ANNUAL_DPI_RANKED_SOURCE_PROFILES__PARTIAL_IDENTIFICATION,11047.363,12408.28,0.09120292508998025,0.5586665121037504,0.8220034179031491,0.6013495266846233,0.782986373736589,0.6821315030896984,437.2329999999999,1509.514,ACTUAL ANNUAL BEA DPI-RANKED PROFILE,"Proprietor labor split, transfer funding look-through, personal-tax source incidence, and within-decile spending-source fungibility."
2013,STRONG_ANNUAL_DPI_RANKED_SOURCE_PROFILES__PARTIAL_IDENTIFICATION,11388.233,12391.235,0.09324731634531587,0.5695768120788081,0.8189351718390084,0.6147239499089093,0.7774237086848664,0.6815804165202269,577.977,1677.535,ACTUAL ANNUAL BEA DPI-RANKED PROFILE,"Proprietor labor split, transfer funding look-through, personal-tax source incidence, and within-decile spending-source fungibility."
2014,STRONG_ANNUAL_DPI_RANKED_SOURCE_PROFILES__PARTIAL_IDENTIFICATION,11874.45,12998.394,0.09738743104436186,0.5553965963585821,0.8099984177625439,0.6023831913525716,0.7679688853951712,0.674838350836795,607.1320000000001,1785.68,ACTUAL ANNUAL BEA DPI-RANKED PROFILE,"Proprietor labor split, transfer funding look-through, personal-tax source incidence, and within-decile spending-source fungibility."
2015,STRONG_ANNUAL_DPI_RANKED_SOURCE_PROFILES__PARTIAL_IDENTIFICATION,12297.438,13532.854,0.09065907320485184,0.5584146415965522,0.822882620614434,0.6075358924822739,0.7771976372071109,0.6796571383070997,635.3870000000001,1940.888,ACTUAL ANNUAL BEA DPI-RANKED PROFILE,"Proprietor labor split, transfer funding look-through, personal-tax source incidence, and within-decile spending-source fungibility."
2016,STRONG_ANNUAL_DPI_RANKED_SOURCE_PROFILES__PARTIAL_IDENTIFICATION,12726.849,13928.899,0.09074777825996054,0.5596403449368719,0.822632603086013,0.6077340927563843,0.7778373893235548,0.6769487380708624,657.89,1958.752,ACTUAL ANNUAL BEA DPI-RANKED PROFILE,"Proprietor labor split, transfer funding look-through, personal-tax source incidence, and within-decile spending-source fungibility."
