year,evidence_tier,human_effort_share_headline,human_effort_weak_central,human_effort_weak_lower,human_effort_weak_upper,foreign_content_share_headline,foreign_content_weak_central,foreign_content_weak_lower,foreign_content_weak_upper,domestic_capital_share_headline,domestic_capital_weak_lower,domestic_capital_weak_upper,strong_source_note,weak_method_note
1950,WEAK,0.6637571267537503,0.6637571267537503,0.6132899881212631,0.6858923822491438,0.0611871589745044,0.0611871589745044,0.034088311263781444,0.10558020516894277,0.2750557142717453,0.20852741258191337,0.35262170061495546,,Ensemble of five OLS product-composition specifications estimated only on 1997–2023; current NIPA product shares are observed for all years.
1951,WEAK,0.6609976136013966,0.6609976136013966,0.6128509967662784,0.6824888962586604,0.062168783364324784,0.062168783364324784,0.035848319680638153,0.1046617505544085,0.27683360303427856,0.2128493531869311,0.3513006835530834,,Ensemble of five OLS product-composition specifications estimated only on 1997–2023; current NIPA product shares are observed for all years.
1952,WEAK,0.6538804089480376,0.6538804089480376,0.6093014439945537,0.6744277531707552,0.06562958041153785,0.06562958041153785,0.04026618681462759,0.10523899244959352,0.28049001064042456,0.2203332543796513,0.35043236919081877,,Ensemble of five OLS product-composition specifications estimated only on 1997–2023; current NIPA product shares are observed for all years.
1953,WEAK,0.6486438933922233,0.6486438933922233,0.608207544341762,0.6680605133076007,0.0679620080724633,0.0679620080724633,0.04398258882693981,0.10409104259277491,0.2833940985353134,0.22784844409962435,0.3478098668312981,,Ensemble of five OLS product-composition specifications estimated only on 1997–2023; current NIPA product shares are observed for all years.
1954,WEAK,0.6400741659726137,0.6400741659726137,0.6046196631034239,0.6581380047510895,0.07158936966157328,0.07158936966157328,0.04920138254803788,0.10355877784081335,0.28833646436581306,0.23830321740809712,0.3461789543485383,,Ensemble of five OLS product-composition specifications estimated only on 1997–2023; current NIPA product shares are observed for all years.
1955,WEAK,0.6415901875233966,0.6415901875233966,0.606422922166823,0.6595621103153892,0.07094623784326783,0.07094623784326783,0.0487667816720022,0.10259332715046324,0.2874635746333356,0.2378445625341475,0.34481029616117476,,Ensemble of five OLS product-composition specifications estimated only on 1997–2023; current NIPA product shares are observed for all years.
1956,WEAK,0.637056378875014,0.637056378875014,0.6036554521742733,0.6545349611611656,0.07240917418962549,0.07240917418962549,0.05079414537293624,0.10257305419147052,0.2905344469353605,0.2428919846473639,0.34555040245279045,,Ensemble of five OLS product-composition specifications estimated only on 1997–2023; current NIPA product shares are observed for all years.
1957,WEAK,0.6335840659649936,0.6335840659649936,0.6014826331328386,0.650720667459301,0.0738679528158394,0.0738679528158394,0.05264520460710396,0.10297684685586049,0.292547981219167,0.24630248568483848,0.34587216226005746,,Ensemble of five OLS product-composition specifications estimated only on 1997–2023; current NIPA product shares are observed for all years.
1958,WEAK,0.6252074218808914,0.6252074218808914,0.5962670195416102,0.6415091524315004,0.07742538164796611,0.07742538164796611,0.05710785983290186,0.10397370189297751,0.2973671964711425,0.2545171456755221,0.34662512062548795,,Ensemble of five OLS product-composition specifications estimated only on 1997–2023; current NIPA product shares are observed for all years.
1959,WEAK,0.6233246965772515,0.6233246965772515,0.5946590746545537,0.6395441009668841,0.07791355178386025,0.07791355178386025,0.05769572794733697,0.10419632340597852,0.2987617516388882,0.2562595756271374,0.34764519739810934,,Ensemble of five OLS product-composition specifications estimated only on 1997–2023; current NIPA product shares are observed for all years.
1960,WEAK,0.6181659646478168,0.6181659646478168,0.5922958732661053,0.6336211388360496,0.07982124729611184,0.07982124729611184,0.060538730391371164,0.1037997662996362,0.30201278805607135,0.26257909486431413,0.3471653963425235,,Ensemble of five OLS product-composition specifications estimated only on 1997–2023; current NIPA product shares are observed for all years.
