year,owner_occupied_real_estate_market_value_b,owner_occupied_residential_structures_current_cost_b,land_site_residual_b,land_site_residual_share_property_value,structure_share_property_value,gross_imputed_owner_housing_services_b,land_residual_stock_to_annual_housing_services_ratio,gross_housing_services_yield_on_property_value,owner_housing_net_rental_income_b,net_rental_income_to_land_residual_ratio
1945,89.677,102.946,-13.268999999999991,-0.14796436098442176,1.1479643609844217,,,,,
1946,106.754,129.012,-22.257999999999996,-0.20849804222792584,1.208498042227926,,,,,
1947,149.358,155.026,-5.668000000000006,-0.0379490887665877,1.0379490887665876,,,,,
1948,169.889,170.531,-0.6419999999999959,-0.0037789380124669393,1.0037789380124669,,,,,
1949,185.382,182.098,3.283999999999992,0.01771477273953238,0.9822852272604676,,,,,
1950,212.015,209.093,2.921999999999997,0.01378204372332145,0.9862179562766785,12.391,0.23581631829553684,0.05844397802042309,,
1951,238.107,230.97,7.1370000000000005,0.029973919288387156,0.9700260807116129,14.089,0.5065654056356023,0.059170876958678245,,
1952,259.73,246.477,13.253000000000014,0.05102606552958847,0.9489739344704116,15.901,0.8334695931073527,0.06122126824009548,,
1953,278.545,259.3,19.245000000000005,0.06909117018794092,0.9309088298120591,17.899,1.075199731828594,0.06425891687160064,,
1954,299.779,277.174,22.605000000000018,0.07540554875424903,0.924594451245751,19.724,1.146065706753195,0.06579513575000251,,
1955,328.778,303.275,25.503000000000043,0.07756905875697291,0.922430941243027,21.407,1.1913392815434223,0.06511080425089269,,
1956,354.743,321.804,32.93900000000002,0.09285313593221015,0.9071468640677899,23.233,1.4177678302414678,0.06549248329072033,,
1957,375.232,335.577,39.65500000000003,0.10568128517823647,0.8943187148217635,25.036,1.5839191564147639,0.06672138836772983,,
1958,394.533,347.883,46.650000000000034,0.1182410596832205,0.8817589403167795,26.953,1.730790635550775,0.06831621182511982,,
1959,418.727,365.964,52.76299999999998,0.12600811507258902,0.873991884927411,29.047,1.8164698591937196,0.06936978031032152,,
1960,440.752,374.461,66.291,0.15040430899916504,0.849595691000835,31.273,2.119751862629105,0.07095373361890586,10.134,0.1528714305109291
1961,464.266,381.666,82.60000000000002,0.1779152468627899,0.8220847531372101,33.285,2.4815983175604637,0.07169381346038692,10.748,0.13012106537530263
1962,484.026,388.676,95.35000000000002,0.1969935499332681,0.8030064500667319,35.714,2.669821358570869,0.07378529252560813,11.516,0.1207760880964866
