year,pce_b,source_vintage,DMOTRC,DFDHRC,DREQRC,DODGRC,DFXARC,DCLORC,DGOERC,DONGRC,DHUTRC,DHLCRC,DTRSRC,DRCARC,DFSARC,DIFSRC,DOTSRC,DNPIRC
1950,192.044,US-BEA GitHub Section2All snapshot,13.651,11.8,4.113,2.881,41.41,18.93,8.864,15.181,25.088,6.389,5.403,3.612,12.738,5.438,14.11,2.438
1951,208.339,US-BEA GitHub Section2All snapshot,12.108,12.366,4.107,3.158,46.016,20.478,9.595,16.92,28.102,6.874,5.993,3.775,14.96,6.169,15.119,2.598
1952,219.32,US-BEA GitHub Section2All snapshot,11.351,12.192,4.317,3.383,48.419,21.182,10.184,17.757,31.175,7.605,6.291,3.978,16.027,6.561,16.007,2.892
1953,232.74,US-BEA GitHub Section2All snapshot,13.847,12.584,4.692,3.493,49.286,21.321,10.843,18.769,34.469,8.359,6.753,4.208,16.475,7.5,17.115,3.026
1954,239.608,US-BEA GitHub Section2All snapshot,12.748,12.525,4.887,3.553,50.573,21.394,11.328,18.758,37.367,9.287,6.76,4.48,16.611,8.292,17.814,3.231
1955,258.288,US-BEA GitHub Section2All snapshot,17.657,14.01,5.338,3.74,52.047,22.375,12.359,19.872,40.032,9.904,7.147,4.843,16.989,9.196,19.399,3.379
1956,271.128,US-BEA GitHub Section2All snapshot,15.711,14.814,5.689,3.955,54.166,23.398,13.29,21.132,42.898,10.881,7.594,5.229,17.687,9.954,20.935,3.795
1957,286.296,US-BEA GitHub Section2All snapshot,17.482,14.776,5.755,4.014,57.135,23.579,14.245,22.616,45.934,11.966,8.019,5.243,18.481,10.614,22.41,4.027
1958,295.606,US-BEA GitHub Section2All snapshot,15.022,14.562,5.884,4.063,59.768,23.919,14.718,23.633,49.186,13.405,8.128,5.397,18.667,11.152,23.768,4.333
1959,317.13,BEA current Underlying Section2All release downloaded 2026-08-23,18.789,15.518,6.369,4.212,61.597,25.366,15.289,25.466,52.848,14.831,8.696,5.921,19.738,12.107,25.517,4.864
1960,331.18,BEA current Underlying Section2All release downloaded 2026-08-23,19.582,15.424,6.364,4.255,62.556,25.94,15.809,27.085,56.72,16.031,9.179,6.48,20.484,13.155,27.057,5.059
1961,341.475,BEA current Underlying Section2All release downloaded 2026-08-23,17.722,15.572,6.58,4.332,63.747,26.571,15.723,28.562,60.302,17.12,9.563,6.945,20.964,14.274,28.254,5.246
1962,362.557,BEA current Underlying Section2All release downloaded 2026-08-23,21.386,16.424,6.943,4.712,64.656,27.858,16.316,30.673,64.476,19.136,10.134,7.455,22.257,14.8,29.852,5.479
1963,382.035,BEA current Underlying Section2All release downloaded 2026-08-23,24.246,17.51,7.565,4.907,65.87,28.618,16.922,32.516,68.207,20.977,10.621,7.926,23.306,15.464,31.611,5.769
1964,410.632,BEA current Underlying Section2All release downloaded 2026-08-23,25.802,19.517,8.771,5.467,69.49,31.085,17.659,34.462,72.149,24.149,11.35,8.479,24.878,17.183,33.759,6.433
1965,442.973,BEA current Underlying Section2All release downloaded 2026-08-23,29.645,20.661,10.086,5.998,74.442,32.659,19.132,37.052,76.618,26.037,12.133,8.975,27.181,18.788,36.603,6.962
1966,479.919,BEA current Underlying Section2All release downloaded 2026-08-23,29.927,22.643,12.278,6.897,80.61,35.812,20.656,40.797,81.226,28.678,13.067,9.767,29.635,20.596,39.876,7.455
1967,506.685,BEA current Underlying Section2All release downloaded 2026-08-23,29.601,23.68,13.577,7.123,82.559,37.547,21.876,43.027,86.344,31.928,14.276,10.451,30.957,22.117,43.572,8.05
1968,556.852,BEA current Underlying Section2All release downloaded 2026-08-23,35.414,26.089,15.334,7.991,88.832,41.26,23.217,46.48,92.748,36.576,15.872,11.703,34.594,25.198,46.752,8.793
1969,603.639,BEA current Underlying Section2All release downloaded 2026-08-23,37.448,27.589,16.732,8.714,95.371,44.331,24.968,49.525,100.982,42.058,17.977,12.925,37.461,27.654,50.459,9.444
1970,646.724,BEA current Underlying Section2All release downloaded 2026-08-23,34.538,28.152,17.924,9.374,103.506,45.45,26.286,53.564,109.422,47.664,20.044,14.002,41.624,30.107,54.595,10.473
1971,699.937,BEA current Underlying Section2All release downloaded 2026-08-23,43.233,29.943,19.197,10.073,107.125,49.047,27.647,55.851,119.981,53.725,22.359,15.118,43.797,33.086,58.052,11.704
1972,768.153,BEA current Underlying Section2All release downloaded 2026-08-23,49.365,33.522,22.591,10.966,114.472,53.491,29.393,60.015,131.185,59.843,24.544,16.329,48.886,37.06,63.678,12.814
1973,849.575,BEA current Underlying Section2All release downloaded 2026-08-23,54.358,37.961,25.346,12.862,126.715,59.243,34.325,65.826,143.485,67.175,26.078,18.348,54.832,39.936,69.33,13.755
1974,930.161,BEA current Underlying Section2All release downloaded 2026-08-23,48.166,40.89,26.585,14.535,143.038,62.422,43.849,72.052,158.579,76.083,28.471,20.948,60.614,44.071,74.36,15.497
1975,1030.547,BEA current Underlying Section2All release downloaded 2026-08-23,52.643,42.612,30.362,16.547,156.566,66.867,48.02,77.716,176.526,89.0,32.044,23.653,68.821,51.812,80.343,17.013
1976,1147.666,BEA current Underlying Section2All release downloaded 2026-08-23,68.172,47.172,34.172,19.108,167.297,72.191,53.013,85.179,194.663,101.849,36.155,26.535,77.801,56.755,88.619,18.983
1977,1273.975,BEA current Underlying Section2All release downloaded 2026-08-23,79.796,53.355,37.73,21.082,179.771,79.305,57.817,91.529,217.806,115.691,41.395,29.562,85.665,65.092,97.745,20.635
1978,1422.252,BEA current Underlying Section2All release downloaded 2026-08-23,89.173,59.004,41.701,23.47,196.112,89.318,61.453,103.335,244.279,131.202,45.2,32.85,97.104,76.714,108.319,23.019
1979,1585.42,BEA current Underlying Section2All release downloaded 2026-08-23,90.175,65.254,45.835,25.076,218.37,96.371,80.388,116.469,273.403,148.839,50.705,36.725,110.921,83.557,117.212,26.12
1980,1750.667,BEA current Underlying Section2All release downloaded 2026-08-23,84.43,67.844,46.49,27.627,239.167,103.002,101.898,129.335,312.454,171.661,55.367,40.837,121.721,91.659,127.142,30.033
1981,1933.951,BEA current Underlying Section2All release downloaded 2026-08-23,93.016,71.461,49.878,29.583,255.338,113.178,113.443,143.472,352.071,201.913,59.789,47.126,133.916,98.45,137.177,34.14
1982,2071.256,BEA current Underlying Section2All release downloaded 2026-08-23,100.014,71.811,51.287,29.921,267.141,116.745,108.35,154.023,387.498,225.182,61.729,52.475,142.508,113.68,150.93,37.964
1983,2281.605,BEA current Underlying Section2All release downloaded 2026-08-23,122.945,79.77,58.655,33.66,277.036,126.446,106.456,168.815,421.227,253.125,68.899,59.429,153.55,140.975,169.861,40.756
1984,2492.34,BEA current Underlying Section2All release downloaded 2026-08-23,147.192,88.833,67.843,38.288,291.102,137.622,108.201,184.62,457.51,276.477,80.016,66.117,164.916,150.756,187.465,45.384
1985,2712.83,BEA current Underlying Section2All release downloaded 2026-08-23,170.065,94.62,74.075,41.605,302.953,146.845,110.532,196.914,500.61,302.195,90.145,73.958,174.299,178.247,207.86,47.907
1986,2886.278,BEA current Underlying Section2All release downloaded 2026-08-23,187.519,103.454,83.016,47.45,316.414,157.2,91.191,209.382,536.976,330.159,95.009,80.37,186.687,187.675,221.165,52.61
1987,3076.279,BEA current Underlying Section2All release downloaded 2026-08-23,188.181,109.536,91.802,52.503,324.313,167.727,96.369,225.867,571.559,366.011,103.097,87.277,204.379,189.53,242.431,55.698
1988,3330.012,BEA current Underlying Section2All release downloaded 2026-08-23,202.213,115.155,99.876,57.808,342.806,178.214,99.85,241.386,614.438,410.052,114.15,99.234,225.847,202.93,262.76,63.294
1989,3576.758,BEA current Underlying Section2All release downloaded 2026-08-23,207.771,121.388,103.905,61.265,365.388,190.397,110.439,263.251,655.168,451.208,121.847,110.665,242.597,222.319,281.112,68.037
1990,3808.994,BEA current Underlying Section2All release downloaded 2026-08-23,205.119,120.94,105.558,65.462,391.176,195.245,124.199,283.602,696.54,506.201,126.372,121.767,262.735,230.757,297.461,75.86
1991,3943.449,BEA current Underlying Section2All release downloaded 2026-08-23,185.748,118.784,107.715,64.935,402.953,199.098,121.129,297.072,735.248,555.76,123.674,127.182,273.395,250.083,300.547,80.127
1992,4197.559,BEA current Underlying Section2All release downloaded 2026-08-23,204.799,124.288,110.995,68.0,404.464,211.233,125.008,314.481,771.112,612.785,133.622,139.8,286.312,276.995,325.73,87.935
1993,4451.984,BEA current Underlying Section2All release downloaded 2026-08-23,224.715,131.367,123.473,71.977,413.472,219.053,126.882,331.407,814.939,648.809,145.735,153.375,298.406,314.0,344.309,90.065
1994,4720.965,BEA current Underlying Section2All release downloaded 2026-08-23,249.843,140.511,140.34,76.477,432.109,227.435,129.231,350.608,863.343,680.461,160.97,164.66,308.298,327.912,371.006,97.762
1995,4962.59,BEA current Underlying Section2All release downloaded 2026-08-23,255.709,146.742,153.722,79.565,443.748,231.245,133.404,371.398,913.681,719.885,176.359,181.092,316.136,347.0,390.576,102.328
1996,5244.596,BEA current Underlying Section2All release downloaded 2026-08-23,273.485,153.535,164.93,84.345,461.879,239.542,144.745,395.21,962.44,752.066,192.686,195.583,326.558,372.083,415.465,110.044
1997,5536.79,BEA current Underlying Section2All release downloaded 2026-08-23,293.082,160.49,174.632,87.325,474.777,247.496,147.661,421.041,1009.822,790.948,211.803,208.317,343.427,408.884,451.495,105.588
1998,5877.248,BEA current Underlying Section2All release downloaded 2026-08-23,320.205,173.579,191.36,94.15,487.437,257.805,132.355,451.549,1065.472,832.045,225.18,220.204,361.836,446.059,494.205,123.807
1999,6283.758,BEA current Underlying Section2All release downloaded 2026-08-23,350.73,191.185,210.921,102.732,515.53,271.097,146.545,498.321,1123.133,863.589,241.344,238.055,380.331,484.588,527.427,138.229
2000,6767.179,BEA current Underlying Section2All release downloaded 2026-08-23,363.228,208.106,230.859,110.38,540.578,280.831,184.516,534.675,1198.556,918.425,261.279,254.39,408.781,541.925,572.611,158.041
2001,7073.801,BEA current Underlying Section2All release downloaded 2026-08-23,383.289,214.94,234.933,108.352,564.003,277.868,177.986,564.221,1287.493,996.564,259.8,262.29,419.664,529.302,614.012,179.083
2002,7348.941,BEA current Underlying Section2All release downloaded 2026-08-23,401.347,225.868,244.773,113.38,575.052,278.835,167.9,591.65,1329.534,1082.872,251.873,271.403,436.311,539.046,640.754,198.343
2003,7740.749,BEA current Underlying Section2All release downloaded 2026-08-23,401.518,235.161,259.466,121.655,599.58,285.296,196.412,623.509,1391.084,1154.049,259.618,288.865,462.716,574.199,682.108,205.511
2004,8231.96,BEA current Underlying Section2All release downloaded 2026-08-23,409.311,254.31,284.842,132.111,632.604,297.38,232.732,658.73,1466.633,1238.873,271.15,311.479,498.229,619.316,717.887,206.372
2005,8769.066,BEA current Underlying Section2All release downloaded 2026-08-23,409.954,271.273,306.401,140.982,668.216,310.509,283.77,691.817,1580.105,1320.533,283.884,328.124,533.632,676.845,752.752,210.268
2006,9277.236,BEA current Underlying Section2All release downloaded 2026-08-23,394.949,283.598,326.32,153.466,700.26,320.023,319.65,741.389,1665.715,1391.892,297.056,351.278,570.6,719.53,802.324,239.184
2007,9746.594,BEA current Underlying Section2All release downloaded 2026-08-23,400.573,283.458,339.19,164.823,737.332,323.474,345.547,772.635,1759.556,1478.209,307.553,375.594,601.498,762.695,845.677,248.78
2008,10050.083,BEA current Underlying Section2All release downloaded 2026-08-23,343.337,264.349,328.061,163.014,769.085,317.373,391.089,786.914,1872.714,1555.346,312.689,389.069,620.152,777.456,872.143,287.292
2009,9891.218,BEA current Underlying Section2All release downloaded 2026-08-23,318.583,238.275,297.516,157.747,772.93,304.043,287.027,803.901,1900.009,1632.737,297.362,388.399,612.688,720.512,870.308,289.18
2010,10260.256,BEA current Underlying Section2All release downloaded 2026-08-23,344.466,240.924,298.612,164.96,786.866,316.611,336.718,828.667,1947.947,1699.559,305.153,403.743,635.671,767.987,887.933,294.438
2011,10698.857,BEA current Underlying Section2All release downloaded 2026-08-23,365.178,246.862,305.353,176.106,819.542,332.586,413.801,858.693,1983.277,1757.146,328.362,409.015,669.465,811.064,910.551,311.856
2012,11047.363,BEA current Underlying Section2All release downloaded 2026-08-23,396.608,253.938,311.821,181.854,846.198,345.22,421.935,880.166,2014.74,1821.293,341.05,430.769,704.928,830.923,924.374,341.546
2013,11388.233,BEA current Underlying Section2All release downloaded 2026-08-23,422.128,263.304,322.311,184.042,870.536,354.351,421.623,903.887,2085.694,1863.771,360.089,448.657,732.649,870.808,936.997,347.384
2014,11874.45,BEA current Underlying Section2All release downloaded 2026-08-23,451.591,275.462,331.8,188.406,910.421,368.604,410.907,949.385,2146.012,1945.46,382.738,471.076,776.811,925.569,986.951,353.257
2015,12297.438,BEA current Underlying Section2All release downloaded 2026-08-23,490.733,292.691,339.507,192.863,942.006,380.803,318.796,997.731,2196.137,2059.765,393.491,499.689,833.353,976.831,1019.255,363.787
2016,12726.849,BEA current Underlying Section2All release downloaded 2026-08-23,504.624,306.047,354.524,191.301,969.597,392.151,287.015,1027.778,2269.046,2164.634,411.05,528.527,870.522,996.14,1065.61,388.283
2017,13290.626,BEA current Underlying Section2All release downloaded 2026-08-23,529.413,319.185,375.685,191.627,1010.444,401.084,323.983,1060.793,2350.171,2245.306,429.405,555.221,913.232,1073.212,1115.449,396.415
2018,13934.442,BEA current Underlying Section2All release downloaded 2026-08-23,549.998,335.953,405.202,197.678,1044.381,409.38,366.675,1104.941,2459.308,2344.74,456.444,575.902,960.699,1130.866,1171.345,420.93
2019,14437.543,BEA current Underlying Section2All release downloaded 2026-08-23,544.955,346.714,429.159,202.816,1083.239,414.144,352.512,1159.278,2561.996,2472.39,486.284,597.209,1006.392,1134.965,1227.798,417.691
2020,14231.353,BEA current Underlying Section2All release downloaded 2026-08-23,546.813,380.989,496.205,197.693,1201.722,360.435,258.458,1266.309,2687.694,2354.165,366.455,470.207,823.957,1152.896,1185.322,482.032
2021,16119.682,BEA current Underlying Section2All release downloaded 2026-08-23,696.963,451.228,590.121,253.553,1291.454,468.624,385.743,1361.761,2842.804,2642.111,467.588,576.776,1048.313,1264.368,1337.937,440.34
2022,17690.013,BEA current Underlying Section2All release downloaded 2026-08-23,726.402,476.136,606.179,269.212,1394.007,494.102,514.602,1458.027,3114.446,2819.064,571.687,677.298,1235.858,1324.622,1472.236,536.136
2023,18833.15,BEA current Underlying Section2All release downloaded 2026-08-23,750.42,479.861,633.009,277.753,1438.287,513.336,464.897,1558.102,3375.528,3060.445,616.9,739.325,1362.481,1425.8,1582.924,554.081
2024,19896.009,BEA current Underlying Section2All release downloaded 2026-08-23,732.779,490.018,663.732,291.555,1479.572,530.206,440.526,1633.141,3603.64,3314.991,660.506,777.049,1428.965,1560.423,1675.793,613.113
2025,20954.857,BEA current Underlying Section2All release downloaded 2026-08-23,758.834,507.34,697.612,301.627,1529.922,561.764,422.353,1728.589,3801.214,3551.57,703.698,819.215,1495.154,1689.841,1777.887,608.238
