year,pce_b,DMOTRC,DMOTRC_share_pce,DFDHRC,DFDHRC_share_pce,DREQRC,DREQRC_share_pce,DODGRC,DODGRC_share_pce,DFXARC,DFXARC_share_pce,DCLORC,DCLORC_share_pce,DGOERC,DGOERC_share_pce,DONGRC,DONGRC_share_pce,DHUTRC,DHUTRC_share_pce,DHLCRC,DHLCRC_share_pce,DTRSRC,DTRSRC_share_pce,DRCARC,DRCARC_share_pce,DFSARC,DFSARC_share_pce,DIFSRC,DIFSRC_share_pce,DOTSRC,DOTSRC_share_pce,DNPIRC,DNPIRC_share_pce,detail_sum_b,identity_residual_b,source_vintage
1950,192.044,13.651,0.07108266855512278,11.8,0.06144425235883443,4.113,0.021416966945075087,2.881,0.015001770427610337,41.41,0.21562766865926555,18.93,0.09857116077565557,8.864,0.04615608922955156,15.181,0.07904959280164961,25.088,0.13063672908291848,6.389,0.033268417654287556,5.403,0.028134177584303595,3.612,0.01880818978983983,12.738,0.06632854970735873,5.438,0.028316427485367935,14.11,0.07347274582908082,2.438,0.012695007394138843,192.046,-0.001999999999981128,US-BEA GitHub Section2All snapshot
1951,208.339,12.108,0.05811681922251715,12.366,0.05935518553895334,4.107,0.019713063804664515,3.158,0.015157987702734485,46.016,0.22087079231444903,20.478,0.09829172646504016,9.595,0.04605474731087315,16.92,0.08121379098488522,28.102,0.13488593110267402,6.874,0.0329943025549705,5.993,0.028765617575201956,3.775,0.018119507149405537,14.96,0.07180604687552498,6.169,0.029610394597266953,15.119,0.07256922611704962,2.598,0.01247006081434585,208.33800000000002,0.0009999999999763531,US-BEA GitHub Section2All snapshot
1952,219.32,11.351,0.05175542586175452,12.192,0.05559000547145723,4.317,0.0196835673901149,3.383,0.015424949844975378,48.419,0.22076873974101768,21.182,0.09658033923034835,10.184,0.04643443370417654,17.757,0.08096388838227249,31.175,0.14214389932518695,7.605,0.03467536020426774,6.291,0.028684114535838048,3.978,0.018137880722232356,16.027,0.07307587087360934,6.561,0.02991519241291264,16.007,0.07298467991975197,2.892,0.013186211927776765,219.321,-0.0010000000000047748,US-BEA GitHub Section2All snapshot
1953,232.74,13.847,0.05949557446077167,12.584,0.05406891810604107,4.692,0.020159835009022943,3.493,0.015008163616052245,49.286,0.21176420039529087,21.321,0.09160866202629545,10.843,0.04658846781816619,18.769,0.08064363667611926,34.469,0.14810088510784566,8.359,0.03591561398985993,6.753,0.029015210105697343,4.208,0.01808026123571367,16.475,0.07078714445303773,7.5,0.03222480020623872,17.115,0.07353699407063675,3.026,0.013001632723210447,232.74,0.0,US-BEA GitHub Section2All snapshot
1954,239.608,12.748,0.05320356582417949,12.525,0.052272879035758404,4.887,0.02039581316149711,3.553,0.014828386364395178,50.573,0.2110655737704918,21.394,0.08928750292143835,11.328,0.047277219458448795,18.758,0.07828620079463122,37.367,0.15595055256919635,9.287,0.03875913992854997,6.76,0.028212747487563018,4.48,0.018697205435544723,16.611,0.06932573202898067,8.292,0.034606523989182326,17.814,0.07434643250642717,3.231,0.013484524723715401,239.60799999999998,2.842170943040401e-14,US-BEA GitHub Section2All snapshot
1955,258.288,17.657,0.06836167379049743,14.01,0.054241776621445824,5.338,0.020666852505730037,3.74,0.014479960354333148,52.047,0.2015076194015982,22.375,0.08662810506101716,12.359,0.04784968717090999,19.872,0.07693737223564392,40.032,0.15498977885151458,9.904,0.03834479340890788,7.147,0.027670662206529147,4.843,0.018750387164715356,16.989,0.065775413491916,9.196,0.03560366722418386,19.399,0.07510608313200769,3.379,0.013082295731896178,258.287,0.0010000000000331966,US-BEA GitHub Section2All snapshot
1956,271.128,15.711,0.057946800035407635,14.814,0.05463839957510844,5.689,0.020982709273848515,3.955,0.014587206042902246,54.166,0.1997801776282789,23.398,0.08629872237467175,13.29,0.049017438257944586,21.132,0.07794104629547668,42.898,0.15822047151161078,10.881,0.04013233601841197,7.594,0.028008910920303328,5.229,0.019286093653182262,17.687,0.06523487061461745,9.954,0.03671328671328672,20.935,0.07721445221445221,3.795,0.013997078870496593,271.12800000000004,-5.684341886080802e-14,US-BEA GitHub Section2All snapshot
1957,286.296,17.482,0.06106267639086819,14.776,0.051610920166540925,5.755,0.02010157319697097,4.014,0.014020454354933357,57.135,0.19956618325090117,23.579,0.08235881744767654,14.245,0.049756196384161844,22.616,0.07899516584234499,45.934,0.16044233939698774,11.966,0.04179590354039176,8.019,0.0280094727135552,5.243,0.018313214295693967,18.481,0.06455207198144579,10.614,0.03707351831670719,22.41,0.07827563081565932,4.027,0.014065861905161093,286.29600000000005,-5.684341886080802e-14,US-BEA GitHub Section2All snapshot
1958,295.606,15.022,0.05081764240238696,14.562,0.049261517019275655,5.884,0.019904873378754153,4.063,0.013744646590393969,59.768,0.2021880476039052,23.919,0.08091513704052015,14.718,0.04978924649702645,23.633,0.07994763299797704,49.186,0.16639039802980995,13.405,0.04534752339262396,8.128,0.027496058943323208,5.397,0.018257410201416753,18.667,0.06314824462291023,11.152,0.03772589189664621,23.768,0.08040432196910753,4.333,0.014658024532654954,295.60499999999996,0.0010000000000331966,US-BEA GitHub Section2All snapshot
1959,317.13,18.789,0.05924699649985811,15.518,0.04893261438526787,6.369,0.020083246618106138,4.212,0.013281619525115883,61.597,0.19423264907135876,25.366,0.07998612556364898,15.289,0.04821051303881689,25.466,0.08030145366253587,52.848,0.16664459369974458,14.831,0.04676631034591493,8.696,0.027420931479204113,5.921,0.018670576735092866,19.738,0.06223946015829471,12.107,0.03817677293223599,25.517,0.08046227099296818,4.864,0.015337558729858418,317.12799999999993,0.002000000000066393,BEA current Underlying Section2All release downloaded 2026-08-23
