Year,Ranking,Income Concept,"NIPA Table 2.9, line Number",Quantile or Summary Metric,Value
2000,Equivalized Disposable Personal Income,Compensation of employees,23.0,0-10%,0.012
2000,Equivalized Disposable Personal Income,Compensation of employees,23.0,10-20%,0.027
2000,Equivalized Disposable Personal Income,Compensation of employees,23.0,20-30%,0.037
2000,Equivalized Disposable Personal Income,Compensation of employees,23.0,30-40%,0.049
2000,Equivalized Disposable Personal Income,Compensation of employees,23.0,40-50%,0.064
2000,Equivalized Disposable Personal Income,Compensation of employees,23.0,50-60%,0.086
2000,Equivalized Disposable Personal Income,Compensation of employees,23.0,60-70%,0.107
2000,Equivalized Disposable Personal Income,Compensation of employees,23.0,70-80%,0.133
2000,Equivalized Disposable Personal Income,Compensation of employees,23.0,80-90%,0.169
2000,Equivalized Disposable Personal Income,Compensation of employees,23.0,90-100%,0.317
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,0-10%,0.012
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,10-20%,0.029
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,20-30%,0.039
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,30-40%,0.051
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,40-50%,0.068
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,50-60%,0.091
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,60-70%,0.113
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,70-80%,0.141
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,80-90%,0.181
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,90-100%,0.275
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,0-10%,0.020
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,0-20%,0.058
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,10-20%,0.038
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,20-30%,0.047
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,20-40%,0.104
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,30-40%,0.057
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,40-50%,0.068
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,40-60%,0.149
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,50-60%,0.081
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,60-70%,0.095
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,60-80%,0.209
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,70-80%,0.113
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,80-100%,0.480
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,80-90%,0.143
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,90-100%,0.337
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,Bottom 5%,0.007
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,Equivalized 50/10 Ratio,2.18
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,Equivalized 80/20 Ratio,2.83
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,Equivalized 90/10 Ratio,4.98
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,Equivalized 90/50 Ratio,2.28
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,Equivalized Gini,0.416
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,Mean ($2017),92448.65
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,Mean (Nominal),68247.44
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,Median ($2017),66723.16
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,Median (Nominal),49256.37
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,Top 1%,0.128
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,Top 5%,0.244
2000,Equivalized Disposable Personal Income,Government social benefits,30.0,0-10%,0.075
2000,Equivalized Disposable Personal Income,Government social benefits,30.0,10-20%,0.117
2000,Equivalized Disposable Personal Income,Government social benefits,30.0,20-30%,0.131
2000,Equivalized Disposable Personal Income,Government social benefits,30.0,30-40%,0.132
2000,Equivalized Disposable Personal Income,Government social benefits,30.0,40-50%,0.124
2000,Equivalized Disposable Personal Income,Government social benefits,30.0,50-60%,0.104
2000,Equivalized Disposable Personal Income,Government social benefits,30.0,60-70%,0.091
2000,Equivalized Disposable Personal Income,Government social benefits,30.0,70-80%,0.079
2000,Equivalized Disposable Personal Income,Government social benefits,30.0,80-90%,0.073
2000,Equivalized Disposable Personal Income,Government social benefits,30.0,90-100%,0.075
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,0-10%,0.076
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,10-20%,0.112
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,20-30%,0.126
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,30-40%,0.129
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,40-50%,0.120
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,50-60%,0.102
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,60-70%,0.091
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,70-80%,0.081
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,80-90%,0.076
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,90-100%,0.087
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,0-10%,0.018
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,10-20%,0.033
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,20-30%,0.042
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,30-40%,0.052
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,40-50%,0.062
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,50-60%,0.076
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,60-70%,0.091
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,70-80%,0.111
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,80-90%,0.144
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,90-100%,0.372
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,0-10%,0.148
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,10-20%,0.048
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,20-30%,0.074
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,30-40%,0.095
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,40-50%,0.070
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,50-60%,0.079
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,60-70%,0.101
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,70-80%,0.114
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,80-90%,0.117
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,90-100%,0.154
2000,Equivalized Disposable Personal Income,Household dividend income,28.0,0-10%,0.004
2000,Equivalized Disposable Personal Income,Household dividend income,28.0,10-20%,0.007
2000,Equivalized Disposable Personal Income,Household dividend income,28.0,20-30%,0.010
2000,Equivalized Disposable Personal Income,Household dividend income,28.0,30-40%,0.016
